zoneid,userid,latitude,longitude,timestamp,time_of_day,day_of_week,speed,weather_conditions,frequency_crossing,zoneradius,behaviour
827,15,39.9514,-75.1745,2025-10-22 04:50:43.912,evening,Thursday,29,Clear,3,100,normal
661,0,39.9345,-75.1245,2025-04-18 13:39:06.770,morning,Sunday,36,Clear,5,200,normal
516,6,39.9335,-75.1915,2025-05-28 20:21:54.533,afternoon,Monday,51,Cloudy,4,200,normal
954,13,39.9962,-75.1932,2025-03-17 14:47:37.367,afternoon,Monday,31,Cloudy,9,100,normal
780,14,39.9761,-75.2074,2025-01-30 10:52:03.972,afternoon,Thursday,51,Cloudy,1,750,normal
986,4,39.9868,-75.1823,2025-09-09 21:20:51.343,morning,Sunday,28,Cloudy,9,750,normal
521,2,39.9263,-75.1415,2025-04-14 22:47:25.974,afternoon,Monday,40,Cloudy,7,300,normal
148,0,39.9778,-75.2098,2025-03-07 07:01:52.109,morning,Wednesday,117,Clear,17,500,anomalous
678,1,39.9532,-75.1957,2024-11-18 03:27:18.996,morning,Friday,50,Clear,5,500,normal
358,18,39.9368,-75.1195,2024-11-27 15:23:08.153,night,Wednesday,35,Clear,8,200,normal
151,10,39.9643,-75.1475,2025-03-30 08:22:51.385,afternoon,Friday,72,Clear,14,300,anomalous
647,9,39.9909,-75.1709,2025-06-27 23:44:53.231,evening,Thursday,54,Cloudy,1,300,normal
539,13,39.954,-75.1797,2025-02-15 18:41:37.975,evening,Sunday,47,Clear,3,750,normal
346,4,39.9419,-75.1426,2025-08-04 13:34:23.514,afternoon,Sunday,35,Cloudy,2,300,normal
342,2,39.922,-75.1663,2025-08-16 12:57:53.789,morning,Wednesday,74,Rain,11,300,anomalous
93,2,39.9914,-75.1554,2025-06-21 00:49:53.443,night,Friday,10,Snow,6,200,normal
114,6,39.9927,-75.2122,2024-12-08 02:19:53.302,morning,Monday,34,Cloudy,5,500,normal
230,17,39.9684,-75.1928,2025-09-06 17:23:51.454,afternoon,Friday,40,Clear,8,200,normal
263,19,39.9286,-75.1207,2025-02-25 01:54:54.491,evening,Saturday,48,Clear,16,200,normal
555,10,40.0017,-75.1196,2025-10-06 04:01:32.933,night,Friday,41,Clear,6,750,normal
800,6,39.968,-75.1526,2025-04-30 14:03:09.330,morning,Sunday,73,Rain,2,100,normal
710,7,39.9911,-75.1961,2025-03-23 01:41:18.986,night,Monday,104,Cloudy,14,300,anomalous
743,16,39.9408,-75.207,2025-04-26 23:23:30.094,evening,Friday,28,Fog,9,750,normal
514,14,39.9521,-75.1975,2025-03-08 02:41:10.595,night,Saturday,19,Fog,7,750,normal
918,12,39.9555,-75.1834,2025-08-13 17:57:22.693,afternoon,Saturday,32,Clear,6,500,normal
372,12,39.9739,-75.1545,2025-10-03 06:53:06.664,night,Thursday,21,Clear,3,300,normal
613,8,39.9275,-75.1184,2025-02-21 11:59:28.338,evening,Saturday,63,Cloudy,16,500,anomalous
399,10,39.9233,-75.1334,2025-01-06 11:54:21.311,morning,Thursday,39,Clear,10,500,normal
165,7,39.9536,-75.1394,2024-11-17 23:13:49.501,afternoon,Friday,36,Clear,10,200,normal
371,10,39.9087,-75.1518,2025-08-08 03:24:12.718,morning,Tuesday,39,Cloudy,4,300,normal
249,11,39.9726,-75.2067,2025-06-03 01:36:38.351,night,Tuesday,109,Cloudy,18,300,anomalous
274,5,39.9776,-75.1418,2025-01-12 18:08:23.784,night,Thursday,32,Clear,2,500,normal
25,5,39.9699,-75.1188,2024-11-13 12:32:58.628,morning,Wednesday,27,Snow,5,300,normal
410,13,39.9747,-75.1735,2025-04-27 02:51:25.589,morning,Saturday,39,Clear,1,200,normal
799,19,39.9123,-75.1412,2025-09-10 09:24:54.418,night,Friday,66,Cloudy,20,100,normal
169,4,39.9046,-75.1313,2025-08-05 20:37:39.219,afternoon,Thursday,42,Clear,10,500,normal
311,18,39.9688,-75.1196,2025-01-18 16:21:50.836,evening,Sunday,34,Fog,6,200,normal
37,17,39.9879,-75.1755,2025-07-02 01:30:53.906,night,Tuesday,41,Cloudy,9,100,normal
862,17,39.9641,-75.2038,2025-01-21 09:56:50.962,afternoon,Monday,42,Clear,4,100,normal
760,2,39.9382,-75.1213,2025-01-08 19:27:22.248,afternoon,Thursday,51,Cloudy,8,500,normal
262,15,39.9494,-75.1912,2025-03-26 20:02:49.246,morning,Wednesday,86,Clear,8,500,normal
967,1,39.9169,-75.1978,2025-03-01 00:54:45.857,afternoon,Monday,100,Rain,12,750,anomalous
355,14,39.9605,-75.13,2025-02-27 10:23:51.606,night,Friday,26,Clear,8,500,normal
257,6,39.9214,-75.1487,2025-01-07 20:37:07.483,night,Saturday,29,Fog,9,300,normal
774,12,39.9141,-75.1709,2025-08-27 11:55:24.239,afternoon,Tuesday,36,Cloudy,1,750,normal
24,12,39.9346,-75.1284,2025-06-21 23:45:45.217,night,Tuesday,35,Clear,9,100,normal
699,17,39.9813,-75.1924,2025-01-20 06:17:57.599,evening,Friday,21,Fog,7,200,normal
819,16,39.9708,-75.2036,2025-09-27 06:24:37.609,night,Wednesday,39,Rain,20,300,normal
993,10,39.9533,-75.1468,2025-06-26 15:50:57.355,evening,Monday,36,Rain,4,300,normal
197,7,39.9858,-75.1806,2024-12-29 05:00:28.458,morning,Wednesday,30,Cloudy,7,200,normal
73,9,39.9087,-75.1649,2025-02-19 14:10:31.838,morning,Saturday,51,Clear,4,100,normal
387,18,39.9057,-75.158,2025-08-15 19:25:05.311,afternoon,Wednesday,32,Rain,2,750,normal
70,10,39.9787,-75.1893,2025-08-13 08:02:56.144,morning,Saturday,99,Clear,21,500,anomalous
567,17,39.9588,-75.1982,2025-05-19 15:55:52.164,morning,Wednesday,97,Cloudy,12,100,normal
665,9,39.9866,-75.2037,2025-02-03 01:05:24.543,afternoon,Wednesday,30,Rain,1,300,normal
260,10,39.9877,-75.1908,2025-01-03 03:46:40.255,morning,Monday,30,Rain,1,750,normal
51,17,39.9535,-75.1949,2024-12-25 11:01:14.631,evening,Thursday,42,Clear,4,200,normal
377,18,39.9026,-75.1381,2025-01-03 16:46:36.742,evening,Saturday,31,Fog,4,500,normal
290,13,39.9274,-75.1294,2025-06-01 04:46:34.988,evening,Saturday,38,Clear,4,100,normal
901,8,39.9092,-75.1955,2025-04-24 06:48:32.230,afternoon,Wednesday,39,Clear,1,750,normal
758,11,39.9137,-75.1317,2025-10-06 09:51:42.451,morning,Thursday,26,Cloudy,8,100,normal
569,16,39.9098,-75.1878,2024-11-12 23:09:11.692,afternoon,Wednesday,22,Fog,3,200,normal
421,17,39.9574,-75.1902,2025-10-14 06:04:57.444,morning,Tuesday,32,Clear,10,500,normal
577,19,39.9481,-75.2131,2024-11-12 23:49:48.348,night,Tuesday,20,Rain,1,100,normal
615,3,39.9427,-75.1353,2024-11-12 05:00:38.248,night,Wednesday,24,Clear,5,750,normal
462,10,39.9934,-75.1184,2025-01-19 17:26:01.285,evening,Friday,49,Clear,10,300,normal
923,4,39.969,-75.1708,2025-10-06 05:10:38.329,evening,Sunday,43,Clear,3,200,normal
687,10,39.9036,-75.1416,2025-08-08 00:57:13.599,night,Friday,24,Rain,9,100,normal
944,13,39.938,-75.1855,2025-05-24 15:29:42.113,morning,Thursday,50,Cloudy,4,100,normal
389,9,39.9588,-75.1257,2025-06-18 01:52:30.361,night,Sunday,114,Clear,18,300,anomalous
545,12,39.9654,-75.142,2025-07-05 03:35:51.953,morning,Tuesday,47,Clear,7,200,normal
841,11,40.0007,-75.1774,2024-11-08 11:06:23.272,evening,Wednesday,105,Clear,17,750,anomalous
786,8,39.9637,-75.126,2025-10-30 13:27:29.221,night,Thursday,42,Clear,3,100,normal
818,9,39.9933,-75.1662,2025-07-16 16:12:48.312,evening,Sunday,42,Cloudy,6,300,normal
840,14,39.9266,-75.1159,2025-07-13 11:52:08.978,evening,Friday,120,Cloudy,20,200,normal
463,3,39.9069,-75.1408,2025-03-03 20:19:30.135,morning,Saturday,26,Clear,10,100,normal
102,14,39.9536,-75.1378,2024-11-03 06:09:43.787,morning,Sunday,42,Clear,2,750,normal
313,1,39.9901,-75.1774,2025-10-14 07:52:41.662,evening,Thursday,45,Cloudy,6,750,normal
706,6,39.9302,-75.1896,2025-09-20 19:06:43.878,morning,Saturday,53,Snow,3,500,normal
476,17,39.9473,-75.1392,2024-12-06 01:55:23.331,afternoon,Tuesday,34,Clear,6,200,normal
390,4,39.9097,-75.1214,2025-03-16 12:13:58.917,afternoon,Saturday,39,Clear,7,300,normal
178,5,39.9126,-75.1228,2025-01-05 12:30:34.662,morning,Friday,20,Snow,9,100,normal
386,15,39.9602,-75.1391,2024-12-13 11:30:55.835,afternoon,Monday,34,Clear,2,750,normal
938,1,39.966,-75.1385,2025-03-01 14:35:47.525,evening,Thursday,97,Clear,13,100,anomalous
609,14,39.9384,-75.1266,2025-04-18 22:48:20.300,night,Wednesday,32,Clear,6,750,normal
703,3,39.9942,-75.2036,2025-01-15 17:24:31.547,night,Monday,33,Clear,8,500,normal
945,14,39.9378,-75.1906,2025-05-08 06:53:21.621,afternoon,Tuesday,22,Snow,6,100,normal
518,8,39.9311,-75.1201,2025-04-03 12:58:28.642,afternoon,Friday,102,Clear,17,500,anomalous
900,7,39.9224,-75.1425,2025-04-07 15:22:26.100,evening,Wednesday,36,Clear,6,300,normal
343,16,39.931,-75.1457,2024-11-30 04:43:12.345,evening,Friday,77,Cloudy,19,100,anomalous
493,13,39.9348,-75.1457,2025-05-27 06:46:59.541,afternoon,Monday,33,Clear,3,300,normal
597,9,39.9753,-75.1403,2025-08-17 21:29:56.931,afternoon,Wednesday,53,Cloudy,9,300,normal
460,10,39.993,-75.1381,2025-08-17 01:01:46.356,night,Wednesday,26,Clear,8,750,normal
939,11,39.9213,-75.189,2025-06-13 06:31:05.068,evening,Saturday,52,Clear,1,100,normal
446,17,39.9844,-75.1956,2024-11-26 17:38:59.552,night,Wednesday,26,Fog,10,300,normal
251,8,39.9026,-75.215,2025-03-12 11:22:23.579,evening,Tuesday,31,Cloudy,8,500,normal
39,8,39.9294,-75.1342,2025-08-19 07:28:16.689,afternoon,Tuesday,37,Clear,4,750,normal
562,1,39.9264,-75.1323,2025-03-13 17:38:23.246,evening,Wednesday,117,Fog,24,300,anomalous
218,17,39.9141,-75.1854,2025-06-21 02:08:57.429,morning,Sunday,26,Clear,3,500,normal
984,13,39.9628,-75.1274,2025-07-20 02:55:06.799,morning,Friday,46,Cloudy,10,200,normal
0,17,39.9662,-75.1861,2025-01-21 10:11:02.414,afternoon,Friday,73,Cloudy,9,500,normal
402,6,39.9702,-75.1387,2025-02-21 18:35:39.875,morning,Wednesday,106,Cloudy,11,750,anomalous
851,4,39.9111,-75.1312,2025-08-31 01:54:42.610,evening,Wednesday,49,Cloudy,5,200,normal
200,16,39.9803,-75.1303,2024-11-02 22:46:16.653,night,Wednesday,19,Snow,4,200,normal
100,1,39.9941,-75.1942,2024-11-14 10:47:37.323,afternoon,Tuesday,28,Fog,8,300,normal
848,18,39.9631,-75.1259,2025-10-19 03:19:46.079,night,Monday,116,Fog,15,500,anomalous
604,11,39.9993,-75.1176,2025-02-25 19:22:26.514,evening,Thursday,32,Clear,8,750,normal
739,14,39.9563,-75.1304,2025-06-10 10:56:07.373,morning,Friday,49,Clear,9,200,normal
322,16,39.9762,-75.1819,2025-09-16 13:38:38.359,afternoon,Thursday,106,Cloudy,15,300,normal
999,9,39.908,-75.1283,2025-08-11 15:23:31.309,morning,Saturday,39,Clear,5,100,normal
946,19,39.9503,-75.205,2025-07-23 23:01:01.254,morning,Sunday,25,Rain,2,200,normal
154,0,39.9789,-75.1859,2025-03-22 13:41:48.511,morning,Saturday,30,Fog,3,200,normal
966,4,39.971,-75.1539,2024-12-20 14:57:08.214,afternoon,Friday,41,Cloudy,3,750,normal
689,13,39.98,-75.1942,2025-07-07 02:57:41.008,evening,Sunday,35,Fog,7,200,normal
691,9,39.9641,-75.1312,2024-12-03 06:57:48.278,evening,Saturday,36,Cloudy,9,750,normal
757,16,39.9983,-75.1888,2025-06-23 21:05:27.560,morning,Saturday,61,Cloudy,9,300,normal
970,0,39.921,-75.1579,2025-09-11 05:18:15.672,afternoon,Friday,45,Cloudy,4,300,normal
59,16,39.9258,-75.2016,2025-01-20 16:52:59.573,night,Wednesday,115,Cloudy,11,100,anomalous
125,2,39.9669,-75.1384,2025-08-03 06:23:54.830,night,Saturday,78,Clear,6,100,normal
376,6,39.9449,-75.1716,2025-10-01 00:19:38.310,night,Thursday,23,Rain,6,300,normal
112,15,39.9642,-75.1505,2025-03-08 20:10:16.731,night,Friday,29,Clear,6,300,normal
95,18,39.9803,-75.1563,2025-04-22 01:02:16.235,evening,Sunday,45,Clear,9,300,normal
286,1,39.9378,-75.1836,2025-03-27 18:53:19.815,night,Thursday,40,Clear,1,100,normal
895,16,39.9572,-75.1692,2024-12-26 13:56:19.416,afternoon,Friday,90,Cloudy,21,100,anomalous
292,7,39.9538,-75.1674,2024-11-24 06:18:28.675,afternoon,Wednesday,49,Clear,7,750,normal
104,18,39.9451,-75.1626,2025-06-17 15:12:45.687,morning,Tuesday,34,Clear,8,500,normal
334,10,39.9812,-75.2077,2024-11-23 20:40:40.336,morning,Saturday,29,Clear,7,200,normal
108,16,39.9599,-75.1766,2024-11-14 05:29:31.675,morning,Wednesday,33,Rain,6,500,normal
975,6,39.9526,-75.2125,2025-06-09 13:34:02.179,night,Sunday,25,Fog,6,500,normal
630,12,39.9916,-75.1661,2025-01-15 00:32:54.084,night,Saturday,30,Cloudy,2,200,normal
729,15,39.9499,-75.1685,2024-12-09 20:43:14.790,morning,Friday,33,Cloudy,3,500,normal
666,11,39.9925,-75.184,2025-08-15 00:07:14.885,afternoon,Thursday,50,Clear,7,500,normal
663,4,39.9547,-75.1518,2025-06-16 17:09:38.162,night,Tuesday,48,Cloudy,19,100,normal
963,16,39.9066,-75.1943,2025-04-20 08:08:11.423,night,Saturday,18,Rain,8,300,normal
434,11,39.9131,-75.1359,2025-03-14 07:47:30.503,afternoon,Wednesday,81,Clear,7,100,normal
637,9,39.9616,-75.1843,2025-03-03 00:36:17.147,night,Sunday,39,Clear,2,500,normal
203,14,39.9291,-75.1879,2025-01-14 08:01:05.949,afternoon,Thursday,33,Fog,7,750,normal
843,9,39.9879,-75.1334,2024-12-26 20:38:38.208,morning,Tuesday,34,Fog,2,100,normal
119,16,39.9599,-75.1364,2025-05-05 23:08:48.045,afternoon,Monday,20,Rain,4,100,normal
35,19,39.9711,-75.1539,2025-04-17 02:28:33.450,morning,Wednesday,37,Clear,2,100,normal
722,7,39.9875,-75.1453,2025-06-13 11:03:10.610,evening,Wednesday,27,Cloudy,1,200,normal
366,4,39.9731,-75.1911,2025-02-18 11:04:16.819,evening,Monday,37,Snow,2,300,normal
211,5,39.9256,-75.1279,2025-07-24 18:42:46.085,evening,Wednesday,35,Cloudy,8,500,normal
65,16,39.9333,-75.1446,2025-07-24 16:43:35.456,afternoon,Wednesday,59,Cloudy,5,500,normal
411,17,39.9915,-75.2003,2025-10-23 03:07:59.107,afternoon,Sunday,24,Fog,8,500,normal
124,14,39.9027,-75.1425,2025-03-16 16:40:40.286,evening,Sunday,42,Clear,6,200,normal
294,12,39.9728,-75.1426,2025-10-19 11:47:54.038,evening,Monday,82,Clear,18,200,normal
135,1,39.9531,-75.1298,2025-08-21 19:25:03.960,evening,Friday,37,Clear,4,300,normal
301,11,39.967,-75.21,2025-09-21 06:20:12.677,night,Tuesday,86,Snow,12,100,anomalous
718,13,39.9306,-75.1384,2024-12-09 22:45:00.784,afternoon,Sunday,39,Cloudy,10,500,normal
934,14,39.9773,-75.1897,2025-01-04 05:56:44.462,night,Monday,35,Clear,10,750,normal
659,8,39.9968,-75.1845,2025-08-16 20:08:01.698,night,Monday,26,Clear,5,200,normal
490,1,39.9266,-75.1557,2025-07-29 12:22:23.208,afternoon,Sunday,53,Cloudy,4,200,normal
247,9,39.9102,-75.1296,2025-01-12 09:18:21.381,night,Thursday,30,Rain,8,300,normal
959,18,39.9474,-75.1913,2025-04-15 22:08:18.616,afternoon,Monday,22,Rain,8,300,normal
54,2,39.9982,-75.1317,2025-06-01 16:12:46.691,night,Monday,36,Cloudy,10,750,normal
969,7,39.9621,-75.1734,2025-04-11 21:40:41.802,evening,Monday,37,Rain,8,100,normal
741,9,39.915,-75.2094,2025-04-24 17:53:45.737,afternoon,Friday,34,Cloudy,9,200,normal
419,5,39.9405,-75.1719,2024-11-09 08:16:24.873,morning,Sunday,35,Cloudy,10,750,normal
309,5,39.9953,-75.1549,2025-05-07 01:52:12.010,evening,Tuesday,27,Clear,9,300,normal
580,4,39.9162,-75.1788,2024-11-12 14:12:36.962,evening,Thursday,41,Cloudy,9,100,normal
948,12,39.9122,-75.1856,2025-07-23 02:04:08.012,morning,Friday,25,Clear,6,750,normal
873,8,39.9764,-75.1573,2025-10-27 22:39:00.568,night,Tuesday,12,Snow,5,200,normal
20,2,39.976,-75.17,2025-01-01 04:49:47.889,night,Thursday,63,Clear,13,300,anomalous
233,0,39.9654,-75.1892,2025-10-26 05:46:38.765,morning,Tuesday,54,Clear,7,300,normal
744,4,39.9517,-75.1179,2025-07-10 02:29:01.954,morning,Monday,31,Snow,10,750,normal
958,19,39.9745,-75.177,2024-12-10 19:10:03.100,morning,Friday,47,Clear,6,200,normal
641,14,39.9917,-75.1247,2024-12-05 17:22:00.833,evening,Friday,112,Rain,15,200,anomalous
485,18,39.9239,-75.2007,2025-03-13 05:39:35.898,afternoon,Sunday,43,Clear,10,750,normal
495,15,39.9801,-75.1852,2025-04-01 02:12:21.232,night,Sunday,24,Cloudy,8,200,normal
120,19,39.9068,-75.1606,2025-10-25 01:30:34.645,night,Sunday,21,Clear,9,500,normal
981,13,39.9547,-75.1314,2025-02-04 05:41:17.437,evening,Monday,39,Clear,2,200,normal
618,1,39.9844,-75.1619,2024-12-22 00:55:36.676,afternoon,Tuesday,26,Cloudy,9,500,normal
191,19,39.9862,-75.1167,2025-04-25 04:19:50.800,night,Sunday,30,Rain,5,200,normal
384,1,39.9337,-75.1374,2025-03-12 07:52:46.050,afternoon,Wednesday,32,Fog,2,300,normal
897,9,39.9525,-75.1203,2025-02-16 03:27:32.298,afternoon,Thursday,53,Rain,9,750,normal
566,12,39.9173,-75.1592,2025-04-12 22:19:29.857,afternoon,Wednesday,15,Snow,6,100,normal
150,3,39.9028,-75.2096,2024-12-10 17:43:12.917,afternoon,Thursday,46,Clear,9,100,normal
76,6,39.9066,-75.2053,2025-03-29 07:50:20.725,night,Tuesday,23,Cloudy,3,200,normal
590,8,39.9453,-75.1201,2025-10-16 12:55:59.916,night,Wednesday,64,Clear,17,500,anomalous
668,0,39.9803,-75.1998,2025-01-30 00:39:40.599,night,Tuesday,112,Clear,10,500,anomalous
844,15,39.9563,-75.209,2025-07-15 17:39:15.247,evening,Monday,34,Rain,10,300,normal
633,18,39.9253,-75.1485,2025-03-08 09:44:16.322,night,Monday,23,Rain,4,750,normal
425,1,39.9289,-75.1196,2025-01-19 07:43:19.683,afternoon,Tuesday,33,Fog,7,200,normal
36,7,39.9781,-75.1541,2025-01-28 11:22:07.048,evening,Friday,111,Clear,10,100,normal
300,19,39.9226,-75.2099,2025-02-10 19:40:34.690,afternoon,Thursday,31,Clear,1,300,normal
101,11,39.9478,-75.1709,2025-05-17 16:36:44.536,evening,Saturday,44,Cloudy,1,100,normal
438,0,39.9533,-75.166,2025-10-30 16:30:08.655,morning,Monday,71,Cloudy,17,200,anomalous
617,18,39.9647,-75.1838,2025-09-21 14:06:03.315,afternoon,Wednesday,38,Cloudy,5,500,normal
427,2,39.9575,-75.1687,2024-12-23 11:52:43.867,night,Wednesday,99,Rain,13,100,anomalous
103,6,39.9966,-75.1597,2025-07-31 23:44:36.041,morning,Sunday,63,Clear,8,300,normal
527,12,39.9706,-75.1268,2025-06-23 17:22:25.521,morning,Saturday,70,Cloudy,20,300,normal
499,0,39.9667,-75.1741,2025-09-22 15:54:37.347,morning,Sunday,45,Cloudy,4,100,normal
57,12,39.9456,-75.1268,2025-01-01 14:34:15.360,morning,Monday,94,Cloudy,13,500,anomalous
56,1,39.9612,-75.1542,2025-09-26 09:30:50.924,morning,Monday,96,Clear,13,300,anomalous
583,1,39.997,-75.1579,2025-01-08 00:34:12.191,evening,Friday,38,Fog,7,750,normal
69,14,39.9531,-75.2015,2024-11-27 17:55:08.757,afternoon,Tuesday,32,Rain,3,750,normal
820,1,39.9425,-75.1434,2024-11-16 04:43:19.133,afternoon,Sunday,44,Clear,6,500,normal
640,7,39.9987,-75.2087,2025-08-07 03:16:37.503,morning,Saturday,39,Cloudy,9,300,normal
642,6,39.9744,-75.1421,2024-11-29 23:41:27.396,night,Friday,32,Cloudy,5,300,normal
871,4,40.0003,-75.1449,2025-01-27 05:15:42.041,morning,Tuesday,39,Clear,7,200,normal
435,18,39.9987,-75.1305,2025-08-14 14:27:55.725,afternoon,Tuesday,90,Rain,20,750,normal
751,5,40.0005,-75.1241,2025-03-12 20:40:59.245,morning,Wednesday,25,Fog,3,300,normal
599,8,39.9675,-75.1443,2025-10-22 05:14:45.696,morning,Wednesday,52,Clear,20,100,normal
524,5,39.9235,-75.2006,2024-12-28 23:33:34.655,morning,Friday,48,Clear,6,500,normal
381,17,39.9074,-75.1178,2025-08-21 04:05:24.677,night,Saturday,24,Clear,4,200,normal
140,10,39.9165,-75.1287,2024-11-04 14:45:14.035,night,Saturday,25,Clear,8,750,normal
634,14,39.9363,-75.1332,2025-08-25 23:02:51.634,morning,Wednesday,85,Clear,23,100,anomalous
354,15,39.9433,-75.2139,2025-09-11 01:38:44.237,morning,Monday,39,Clear,7,100,normal
382,4,39.9478,-75.2054,2025-04-30 02:08:44.577,night,Saturday,22,Cloudy,6,750,normal
407,18,39.9779,-75.1766,2025-06-30 13:54:31.600,evening,Tuesday,61,Cloudy,24,200,anomalous
756,15,39.9814,-75.1511,2025-01-25 18:21:43.915,morning,Tuesday,28,Rain,10,500,normal
610,13,39.924,-75.1633,2025-08-28 10:23:11.271,evening,Sunday,54,Clear,3,750,normal
874,5,39.9453,-75.1662,2025-10-10 03:47:23.627,evening,Wednesday,28,Clear,2,100,normal
456,12,39.9429,-75.1887,2025-05-15 13:36:22.802,morning,Friday,19,Rain,8,300,normal
869,16,39.9053,-75.2139,2025-04-15 12:52:46.579,night,Tuesday,21,Fog,6,500,normal
953,16,39.9931,-75.1563,2025-08-12 09:33:42.199,evening,Monday,45,Clear,5,300,normal
565,3,39.9147,-75.1332,2025-02-28 19:56:22.352,morning,Sunday,39,Cloudy,6,100,normal
778,2,39.908,-75.1901,2025-02-08 10:43:35.456,evening,Tuesday,80,Cloudy,20,500,normal
146,6,39.9304,-75.1621,2024-10-31 14:27:21.688,night,Sunday,27,Cloudy,9,500,normal
761,7,39.997,-75.1787,2024-12-06 06:28:56.428,night,Sunday,35,Clear,7,100,normal
248,9,39.9506,-75.2133,2025-05-11 22:13:02.263,evening,Friday,34,Clear,9,300,normal
677,0,39.9904,-75.1993,2024-11-10 22:50:43.123,evening,Sunday,36,Rain,5,300,normal
733,5,39.975,-75.2104,2025-09-20 14:59:46.724,evening,Thursday,62,Rain,23,100,anomalous
85,0,39.9238,-75.2003,2025-04-15 20:59:21.469,afternoon,Tuesday,51,Clear,5,200,normal
32,8,39.9559,-75.1603,2025-09-26 21:27:00.066,morning,Friday,37,Clear,4,100,normal
965,2,40.0012,-75.2038,2025-06-01 18:03:35.794,night,Tuesday,36,Clear,2,750,normal
471,12,39.9214,-75.1961,2025-05-20 02:44:02.107,evening,Thursday,28,Clear,5,500,normal
919,6,39.9589,-75.173,2025-01-05 00:42:10.126,night,Tuesday,30,Rain,1,500,normal
779,7,39.934,-75.2011,2025-10-12 16:56:18.242,evening,Monday,28,Clear,4,300,normal
505,4,39.9726,-75.149,2025-01-20 09:59:00.972,afternoon,Monday,117,Fog,12,500,anomalous
558,16,39.9171,-75.1613,2025-06-17 04:08:05.006,morning,Saturday,38,Cloudy,8,200,normal
498,10,39.982,-75.1217,2025-07-08 09:51:37.137,afternoon,Friday,65,Cloudy,19,200,anomalous
351,19,39.9089,-75.1526,2025-08-13 12:17:38.239,evening,Wednesday,112,Rain,12,300,anomalous
645,9,39.9971,-75.1258,2024-11-17 09:29:15.515,morning,Monday,54,Clear,9,500,normal
229,5,39.9286,-75.1788,2025-03-05 01:38:53.184,evening,Friday,65,Cloudy,19,750,anomalous
