user_id,timestamp,temperature,day_of_week,time_of_the_day,weather_conditions,frequency
USER009,2025-11-01 04:35:18.458,1,5,evening,rainy,47
USER014,2025-08-25 02:41:35.466,26,0,evening,cloudy,47
USER014,2025-10-13 10:20:02.459,22,2,afternoon,snowy,47
USER004,2025-10-19 00:35:07.466,24,3,afternoon,rainy,47
USER006,2025-08-19 22:59:03.457,-3,1,afternoon,snowy,47
USER016,2025-10-19 01:24:38.461,30,1,afternoon,sunny,47
USER007,2025-10-20 14:39:50.459,1,2,night,snowy,47
USER003,2025-10-04 04:45:39.460,5,3,night,cloudy,47
USER019,2025-10-10 21:16:02.466,18,0,night,cloudy,47
USER011,2025-09-07 13:54:29.465,13,5,afternoon,sunny,47
USER010,2025-10-05 16:14:42.454,9,4,afternoon,cloudy,47
USER019,2025-08-27 23:46:08.457,-7,4,afternoon,snowy,47
USER018,2025-09-13 18:03:33.458,22,4,evening,rainy,47
USER012,2025-10-24 19:43:00.459,29,0,evening,snowy,47
USER002,2025-11-01 02:25:13.457,-1,4,evening,cloudy,47
USER018,2025-08-27 22:05:45.459,27,3,evening,cloudy,47
USER006,2025-10-18 00:23:16.459,-4,3,morning,sunny,47
USER015,2025-09-07 06:11:07.466,11,0,morning,rainy,47
USER001,2025-10-02 22:23:53.459,32,6,evening,sunny,47
USER018,2025-08-26 17:54:52.466,-10,1,afternoon,cloudy,47
USER001,2025-09-03 16:02:08.456,23,6,night,cloudy,47
USER020,2025-09-15 04:05:09.463,3,6,night,cloudy,47
USER012,2025-09-25 12:11:17.466,32,3,afternoon,cloudy,47
USER020,2025-09-10 19:30:43.460,0,0,morning,sunny,47
USER006,2025-08-22 18:55:19.458,15,0,morning,cloudy,47
USER011,2025-08-21 21:53:38.460,20,6,morning,cloudy,47
USER016,2025-10-22 16:21:07.459,12,6,afternoon,snowy,47
USER009,2025-09-04 12:45:11.466,18,1,evening,snowy,47
USER018,2025-08-19 12:59:14.460,15,4,evening,rainy,47
USER012,2025-08-10 16:43:19.458,10,5,night,sunny,47
USER002,2025-08-12 02:14:29.454,23,6,evening,snowy,47
USER010,2025-09-23 18:13:26.466,-6,1,morning,sunny,47
USER016,2025-10-12 22:16:29.466,12,1,morning,sunny,47
USER005,2025-10-22 09:58:38.457,35,4,night,sunny,47
USER013,2025-08-22 13:55:24.466,36,3,evening,sunny,47
USER017,2025-08-28 02:08:08.463,-2,2,afternoon,sunny,47
USER015,2025-10-22 01:50:21.459,2,5,afternoon,snowy,47
USER020,2025-10-08 11:10:36.466,38,1,morning,rainy,47
USER010,2025-10-13 22:47:47.463,38,2,morning,snowy,47
USER018,2025-09-14 12:53:03.463,3,5,evening,snowy,47
USER012,2025-09-13 08:51:32.466,-6,6,afternoon,snowy,47
USER018,2025-09-15 04:13:15.462,-6,3,afternoon,rainy,47
USER015,2025-08-29 10:33:42.457,33,2,night,rainy,47
USER001,2025-08-10 23:11:46.463,6,0,evening,sunny,47
USER018,2025-09-01 11:26:08.466,-4,1,night,sunny,47
USER013,2025-10-11 08:23:30.465,-7,5,afternoon,snowy,47
USER019,2025-10-28 11:29:06.456,22,6,morning,sunny,47
USER018,2025-09-13 03:46:15.459,7,5,morning,snowy,47
USER015,2025-10-24 18:23:39.458,-8,6,afternoon,snowy,47
USER011,2025-10-07 13:08:45.460,0,6,night,snowy,47
USER016,2025-08-22 20:06:07.460,28,2,afternoon,sunny,47
USER006,2025-08-12 09:03:32.458,-9,4,evening,rainy,47
USER017,2025-09-09 21:34:08.466,25,5,night,snowy,47
USER003,2025-08-15 14:44:54.463,24,5,morning,cloudy,47
USER004,2025-10-11 18:22:11.458,-3,3,evening,snowy,47
USER013,2025-09-07 01:35:01.460,9,5,evening,rainy,47
USER020,2025-08-30 19:23:45.466,4,2,night,snowy,47
USER017,2025-08-23 13:24:51.460,17,2,night,snowy,47
USER012,2025-09-22 00:10:26.465,19,4,afternoon,snowy,47
USER005,2025-10-31 11:34:30.457,18,0,evening,rainy,47
USER010,2025-08-27 01:45:05.465,-6,6,afternoon,rainy,47
USER007,2025-09-30 18:35:05.456,10,2,night,sunny,47
USER005,2025-08-17 03:56:19.460,-10,1,evening,sunny,47
USER008,2025-11-05 02:51:55.463,-8,5,evening,rainy,47
USER018,2025-08-18 19:47:17.465,-5,0,night,rainy,47
USER006,2025-08-19 21:17:57.463,18,2,night,sunny,47
USER002,2025-10-21 11:49:23.458,24,3,morning,sunny,47
USER013,2025-08-09 20:16:36.464,26,3,afternoon,cloudy,47
USER010,2025-09-10 04:23:47.456,26,3,afternoon,snowy,47
USER011,2025-09-10 01:11:19.460,-1,0,evening,rainy,47
USER012,2025-09-11 02:31:58.460,9,3,morning,sunny,47
USER001,2025-08-24 10:30:08.456,19,5,morning,snowy,47
USER006,2025-09-15 11:06:42.460,23,6,afternoon,rainy,47
USER002,2025-09-15 21:46:57.459,27,3,night,sunny,47
USER013,2025-09-09 07:33:54.459,25,0,night,sunny,47
USER011,2025-08-11 12:18:08.459,36,5,morning,sunny,47
USER002,2025-09-18 03:24:39.466,23,0,evening,snowy,47
USER008,2025-09-12 00:23:00.465,13,0,morning,rainy,47
USER006,2025-11-04 05:24:12.466,30,5,afternoon,cloudy,47
USER018,2025-08-30 03:22:29.457,16,5,night,rainy,47
USER011,2025-09-26 15:58:59.463,-7,1,morning,cloudy,47
USER004,2025-09-03 06:54:27.466,5,3,evening,rainy,47
USER001,2025-09-08 19:51:26.460,-4,2,evening,snowy,47
USER013,2025-10-09 21:28:44.459,-2,6,morning,rainy,47
USER013,2025-11-01 00:04:45.461,6,0,night,cloudy,47
USER012,2025-11-03 22:31:51.459,12,6,night,rainy,47
USER005,2025-08-22 01:49:37.461,31,5,morning,snowy,47
USER002,2025-10-18 23:08:55.460,34,1,night,cloudy,47
USER006,2025-10-18 22:20:18.460,14,5,afternoon,cloudy,47
USER009,2025-11-02 15:49:06.460,35,3,morning,rainy,47
USER010,2025-09-27 17:57:17.460,35,6,afternoon,rainy,47
USER012,2025-10-11 19:13:06.459,-6,2,afternoon,snowy,47
USER011,2025-08-10 01:34:42.459,2,4,evening,sunny,47
USER009,2025-09-05 15:35:28.464,13,5,morning,snowy,47
USER018,2025-11-01 23:37:17.460,-7,1,night,rainy,47
USER016,2025-08-15 23:39:06.458,-3,0,night,rainy,47
USER007,2025-10-03 00:58:35.466,11,0,night,cloudy,47
USER011,2025-08-27 09:03:05.460,9,4,night,snowy,47
USER011,2025-09-28 12:48:38.458,14,3,evening,rainy,47
USER006,2025-10-04 00:31:35.465,19,2,afternoon,sunny,47
USER016,2025-09-01 02:53:44.459,-8,0,afternoon,cloudy,47
USER003,2025-09-01 08:09:51.461,8,5,evening,sunny,47
USER010,2025-08-10 09:06:35.463,-6,6,evening,snowy,47
USER018,2025-08-26 10:09:55.459,2,0,night,rainy,47
USER014,2025-09-17 21:14:53.459,26,6,afternoon,rainy,47
USER003,2025-10-02 08:07:56.460,39,4,afternoon,snowy,47
USER019,2025-10-12 20:25:48.460,-8,5,morning,rainy,47
USER007,2025-08-26 07:35:22.466,37,4,afternoon,cloudy,47
USER012,2025-11-03 03:15:28.453,-6,4,night,rainy,47
USER007,2025-10-11 10:30:45.460,38,3,night,cloudy,47
USER011,2025-10-11 19:29:02.459,-4,4,afternoon,rainy,47
USER001,2025-09-05 10:43:14.461,29,4,afternoon,rainy,47
USER002,2025-10-02 08:03:51.458,-2,2,night,snowy,47
USER020,2025-10-22 17:21:34.466,2,3,afternoon,snowy,47
USER019,2025-08-31 10:00:15.460,-3,3,night,cloudy,47
USER012,2025-11-05 08:49:19.460,30,1,night,cloudy,47
USER011,2025-09-11 15:44:20.460,37,2,evening,sunny,47
USER012,2025-10-04 03:34:00.460,18,1,morning,sunny,47
USER006,2025-10-04 20:34:10.466,18,3,afternoon,sunny,47
USER004,2025-09-14 06:50:48.461,-6,5,night,sunny,47
USER004,2025-09-11 23:55:46.458,15,5,night,snowy,47
USER005,2025-09-23 01:20:50.457,-8,5,morning,snowy,47
USER016,2025-09-06 15:32:59.457,1,3,evening,cloudy,47
USER017,2025-10-02 11:14:31.459,23,6,afternoon,rainy,47
USER006,2025-09-04 17:43:42.458,16,4,afternoon,rainy,47
USER017,2025-11-02 19:36:12.463,5,1,evening,rainy,47
USER003,2025-08-18 00:40:52.454,12,5,evening,cloudy,47
USER015,2025-10-22 00:06:35.464,16,1,night,sunny,47
USER009,2025-08-31 13:11:28.460,-6,1,morning,rainy,47
USER015,2025-08-24 03:00:51.459,1,4,afternoon,sunny,47
USER009,2025-08-09 11:08:26.464,29,2,evening,sunny,47
USER011,2025-10-26 04:33:26.457,20,1,morning,snowy,47
USER014,2025-09-19 16:37:16.459,25,6,evening,cloudy,47
USER016,2025-08-28 03:28:52.457,33,0,evening,sunny,47
USER006,2025-09-17 11:37:49.459,32,0,afternoon,rainy,47
USER001,2025-11-02 22:15:34.459,38,4,morning,sunny,47
USER007,2025-08-16 06:13:26.459,-1,1,evening,cloudy,47
USER018,2025-08-21 18:40:02.457,22,5,afternoon,sunny,47
USER005,2025-10-13 07:27:40.458,36,0,night,rainy,47
USER008,2025-08-24 18:35:30.465,-3,4,afternoon,sunny,47
USER010,2025-09-18 01:38:32.466,23,0,afternoon,snowy,47
USER004,2025-08-23 19:43:29.463,-4,5,morning,sunny,47
USER004,2025-10-09 17:06:01.461,17,6,morning,snowy,47
USER003,2025-08-13 08:22:37.460,33,3,morning,rainy,47
USER019,2025-10-28 22:52:41.459,35,1,morning,sunny,47
USER014,2025-10-27 11:51:15.466,30,5,afternoon,snowy,47
USER015,2025-10-15 16:33:07.461,25,0,afternoon,sunny,47
USER002,2025-10-07 12:56:48.463,34,1,morning,cloudy,47
USER003,2025-08-11 14:38:58.458,-7,0,night,snowy,47
USER020,2025-10-15 01:24:36.459,18,3,morning,rainy,47
USER019,2025-09-18 22:51:09.459,20,0,morning,sunny,47
USER004,2025-09-02 09:36:03.456,37,6,afternoon,rainy,47
USER005,2025-09-03 20:27:19.460,11,2,morning,rainy,47
USER010,2025-11-06 05:10:00.458,33,1,afternoon,rainy,47
USER018,2025-10-06 00:08:46.456,30,0,morning,rainy,47
USER001,2025-09-11 23:06:54.459,32,3,afternoon,rainy,47
USER010,2025-09-03 05:43:24.466,12,2,afternoon,sunny,47
USER007,2025-09-18 22:34:22.460,10,2,night,rainy,47
USER008,2025-10-23 22:02:59.460,-3,3,evening,cloudy,47
USER009,2025-11-05 06:28:55.459,8,3,morning,snowy,47
USER020,2025-10-07 23:27:47.463,18,5,afternoon,cloudy,47
USER009,2025-09-29 06:55:41.459,4,5,night,snowy,47
USER011,2025-08-13 22:33:40.462,10,6,evening,sunny,47
USER019,2025-09-16 01:29:28.465,26,2,morning,rainy,47
USER009,2025-10-07 12:06:58.460,23,3,morning,cloudy,47
USER018,2025-11-01 02:09:33.461,-9,4,afternoon,snowy,47
USER003,2025-09-01 08:45:03.456,31,6,evening,sunny,47
USER005,2025-08-24 23:18:43.463,34,0,afternoon,cloudy,47
USER004,2025-09-22 20:59:04.463,39,6,evening,sunny,47
USER001,2025-09-03 11:29:20.460,-5,3,morning,cloudy,47
USER002,2025-08-23 20:49:12.466,9,3,afternoon,cloudy,47
USER004,2025-08-19 19:00:02.465,11,0,morning,sunny,47
USER019,2025-09-03 18:58:23.465,24,2,evening,rainy,47
USER018,2025-10-28 01:24:42.464,17,3,night,cloudy,47
USER001,2025-08-31 04:07:51.458,-3,6,evening,sunny,47
USER013,2025-08-11 13:07:19.459,9,1,afternoon,cloudy,47
USER010,2025-10-10 09:30:34.462,29,3,evening,cloudy,47
USER004,2025-10-30 15:04:26.460,10,1,afternoon,rainy,47
USER004,2025-08-17 04:32:17.464,38,6,night,sunny,47
USER019,2025-09-27 04:33:58.457,4,4,afternoon,cloudy,47
USER005,2025-09-11 19:00:34.459,24,6,night,snowy,47
USER004,2025-09-08 04:39:27.466,21,1,afternoon,snowy,47
USER009,2025-09-14 18:57:28.465,38,5,evening,rainy,47
USER017,2025-10-03 20:03:24.458,30,2,morning,cloudy,47
USER002,2025-10-01 09:53:39.459,35,1,afternoon,snowy,47
USER004,2025-09-17 07:44:36.459,-9,1,morning,rainy,47
USER002,2025-10-12 23:07:22.466,16,4,morning,sunny,47
USER009,2025-09-04 21:06:10.466,2,4,morning,cloudy,47
USER010,2025-09-28 08:35:50.454,26,6,morning,snowy,47
USER005,2025-09-06 16:29:38.457,-7,5,night,snowy,47
USER004,2025-08-22 13:57:49.460,-1,6,evening,sunny,47
USER012,2025-10-26 01:32:08.459,-9,5,afternoon,cloudy,47
USER013,2025-10-27 05:37:33.463,36,6,afternoon,snowy,47
USER017,2025-09-23 12:05:32.459,-5,6,evening,rainy,47
USER003,2025-10-20 04:08:28.463,38,2,morning,snowy,47
USER010,2025-09-13 05:19:43.458,25,1,night,snowy,47
USER002,2025-10-31 00:10:22.466,-7,2,night,snowy,47
USER015,2025-11-02 01:17:47.459,-9,2,evening,snowy,47
USER018,2025-09-20 11:00:00.456,20,1,afternoon,rainy,47
USER005,2025-08-13 17:31:51.456,11,2,evening,rainy,47
USER011,2025-11-03 07:42:51.459,7,5,morning,rainy,47
USER001,2025-10-23 01:16:39.463,-3,4,afternoon,cloudy,47
USER001,2025-09-22 11:57:43.466,4,0,afternoon,cloudy,47
USER011,2025-09-20 03:10:11.456,22,1,evening,snowy,47
USER002,2025-08-18 12:18:59.460,28,4,evening,snowy,47
USER019,2025-09-24 00:08:35.465,3,5,morning,sunny,47
USER010,2025-08-26 13:01:51.462,11,1,evening,sunny,47
USER015,2025-09-16 20:48:58.465,18,1,morning,sunny,47
USER002,2025-08-15 16:13:13.457,10,6,afternoon,cloudy,47
USER009,2025-08-16 04:28:50.460,36,4,afternoon,cloudy,47
USER015,2025-10-22 23:00:38.459,-4,1,night,snowy,47
USER004,2025-10-08 17:37:55.460,34,3,night,snowy,47
USER020,2025-11-06 15:14:19.454,37,0,morning,cloudy,47
USER002,2025-09-30 08:57:04.463,21,1,morning,sunny,47
USER018,2025-09-02 06:30:44.456,5,1,morning,rainy,47
USER005,2025-08-30 10:16:24.456,27,6,morning,sunny,47
USER010,2025-10-25 23:11:04.462,2,0,evening,cloudy,47
USER012,2025-09-04 22:16:30.458,13,4,night,rainy,47
USER012,2025-10-09 23:11:36.456,25,3,morning,sunny,47
USER005,2025-08-28 07:37:29.460,8,3,afternoon,cloudy,47
USER006,2025-08-28 02:13:43.459,14,3,night,sunny,47
USER002,2025-10-05 06:22:30.454,38,2,morning,snowy,47
USER007,2025-10-22 15:07:04.466,16,1,evening,snowy,47
USER006,2025-10-16 10:09:04.457,0,6,night,cloudy,47
USER016,2025-08-21 18:06:46.458,33,3,afternoon,rainy,47
USER013,2025-10-30 06:08:44.461,-10,1,night,snowy,47
USER008,2025-08-13 13:48:08.459,32,2,morning,cloudy,47
USER017,2025-10-08 15:34:35.460,-2,3,night,snowy,47
USER019,2025-09-09 11:38:37.466,-4,1,afternoon,rainy,47
USER011,2025-08-28 01:41:40.459,-6,4,night,cloudy,47
USER017,2025-09-21 15:55:06.466,25,2,afternoon,cloudy,47
USER003,2025-08-30 21:39:34.460,9,6,afternoon,rainy,47
USER018,2025-08-15 05:22:54.466,0,5,night,cloudy,47
USER003,2025-09-20 18:55:52.459,12,5,afternoon,snowy,47
USER020,2025-10-29 01:46:42.457,37,2,night,cloudy,47
USER005,2025-10-13 13:04:18.457,37,1,morning,sunny,47
USER003,2025-10-30 07:02:58.459,12,5,afternoon,cloudy,47
USER001,2025-09-13 12:21:09.461,13,5,afternoon,sunny,47
USER003,2025-08-25 13:02:39.465,-10,1,afternoon,snowy,47
USER016,2025-09-15 10:16:20.466,22,1,night,cloudy,47
USER002,2025-11-04 17:55:57.457,6,6,night,cloudy,47
USER008,2025-10-01 01:13:41.466,25,6,night,snowy,47
USER013,2025-10-16 01:25:39.460,4,6,evening,sunny,47
USER012,2025-10-27 00:53:53.462,-8,5,morning,rainy,47
USER020,2025-10-04 22:45:57.463,17,2,morning,snowy,47
USER010,2025-10-04 05:26:23.464,-1,6,night,rainy,47
USER017,2025-08-13 02:54:42.466,8,5,evening,cloudy,47
USER003,2025-08-16 22:23:50.465,-4,3,night,sunny,47
USER013,2025-10-13 16:04:21.456,-9,3,night,cloudy,47
USER002,2025-10-06 23:44:25.461,30,4,night,rainy,47
USER010,2025-08-27 17:52:39.457,21,6,afternoon,snowy,47
USER007,2025-10-21 05:50:50.460,28,0,night,rainy,47
USER014,2025-08-31 23:25:58.461,11,2,morning,snowy,47
USER017,2025-09-19 18:02:29.460,6,0,evening,snowy,47
USER005,2025-11-05 23:41:39.458,13,1,afternoon,cloudy,47
USER019,2025-10-01 02:25:37.457,32,5,afternoon,cloudy,47
USER008,2025-08-29 06:57:02.460,8,0,night,cloudy,47
USER003,2025-09-25 06:37:17.460,6,4,evening,cloudy,47
USER002,2025-08-09 11:02:59.459,3,2,evening,sunny,47
USER016,2025-10-02 02:45:32.465,-2,1,afternoon,snowy,47
USER020,2025-10-17 23:00:53.460,-6,2,night,snowy,47
USER007,2025-10-26 23:21:59.457,12,2,morning,sunny,47
USER011,2025-10-27 12:08:46.466,39,1,night,sunny,47
USER019,2025-08-31 12:59:24.457,3,3,morning,sunny,47
USER013,2025-08-14 00:18:16.459,18,6,evening,sunny,47
USER013,2025-09-19 23:40:58.457,37,4,morning,cloudy,47
USER007,2025-10-29 11:32:30.457,-6,0,afternoon,rainy,47
USER019,2025-08-09 21:38:05.465,18,3,afternoon,snowy,47
USER012,2025-10-27 11:29:01.458,12,4,evening,cloudy,47
USER006,2025-09-14 06:33:08.458,29,1,evening,sunny,47
USER008,2025-09-29 21:21:22.460,-4,5,night,cloudy,47
USER013,2025-09-05 02:01:56.461,25,2,night,rainy,47
USER008,2025-10-25 19:29:50.459,5,3,morning,rainy,47
USER013,2025-09-11 03:33:26.460,21,2,morning,cloudy,47
USER013,2025-10-15 19:02:06.456,14,1,night,sunny,47
USER019,2025-10-13 01:41:14.465,9,0,evening,sunny,47
USER017,2025-10-05 04:52:23.457,-9,1,night,cloudy,47
USER001,2025-08-30 23:55:01.457,3,0,night,snowy,47
USER009,2025-10-10 12:07:12.459,18,3,night,rainy,47
USER017,2025-09-23 04:01:04.459,1,2,morning,sunny,47
USER017,2025-10-28 15:17:23.459,21,6,afternoon,cloudy,47
USER007,2025-10-23 03:44:42.460,25,6,afternoon,rainy,47
USER004,2025-10-20 11:28:46.456,0,2,morning,rainy,47
USER013,2025-08-12 09:07:42.460,-1,3,evening,sunny,47
USER017,2025-09-21 14:32:12.465,-9,0,morning,cloudy,47
USER005,2025-09-09 04:44:38.466,27,5,afternoon,rainy,47
USER004,2025-08-25 00:26:51.459,35,6,night,snowy,47
USER015,2025-10-06 07:44:01.461,-3,5,afternoon,rainy,47
USER014,2025-10-21 20:27:55.466,4,2,afternoon,rainy,47
USER006,2025-08-13 23:33:02.464,-4,1,morning,snowy,47
USER015,2025-10-26 23:26:12.454,-8,1,afternoon,snowy,47
USER013,2025-08-11 14:41:02.456,15,1,evening,cloudy,47
USER007,2025-09-22 01:07:59.456,2,1,night,sunny,47
USER004,2025-08-12 09:20:09.461,27,1,night,rainy,47
USER005,2025-08-17 22:10:18.460,17,5,morning,snowy,47
USER003,2025-10-31 14:35:30.460,24,1,morning,sunny,47
USER014,2025-10-28 15:43:41.459,26,4,night,snowy,47
USER017,2025-10-10 12:05:30.460,38,3,evening,sunny,47
USER002,2025-10-21 13:34:37.465,34,5,afternoon,cloudy,47
USER002,2025-10-27 02:14:15.466,1,5,evening,snowy,47
USER014,2025-08-19 22:57:36.460,38,5,night,snowy,47
USER016,2025-08-16 11:41:56.460,18,0,night,snowy,47
USER015,2025-10-21 19:22:08.459,32,5,morning,rainy,47
USER020,2025-10-03 19:21:43.459,20,2,night,rainy,47
USER019,2025-09-12 09:53:55.459,38,0,morning,sunny,47
USER020,2025-09-28 13:11:33.466,24,6,evening,cloudy,47
USER001,2025-09-25 08:13:49.457,2,1,night,rainy,47
USER006,2025-10-24 23:39:38.466,15,4,afternoon,snowy,47
USER005,2025-10-31 01:20:08.457,22,0,night,sunny,47
USER013,2025-10-12 01:48:23.459,0,0,night,snowy,47
USER013,2025-08-11 18:56:25.460,-5,4,afternoon,snowy,47
USER020,2025-08-11 05:49:02.459,20,1,night,snowy,47
USER005,2025-10-12 23:39:28.461,8,3,morning,cloudy,47
USER009,2025-10-07 16:16:41.456,10,2,morning,sunny,47
USER011,2025-11-03 23:19:38.466,26,6,morning,sunny,47
USER020,2025-09-16 05:51:14.460,33,4,night,snowy,47
USER018,2025-08-28 21:15:23.465,29,6,afternoon,snowy,47
USER002,2025-10-01 06:17:00.456,-4,4,morning,sunny,47
USER007,2025-10-28 13:29:31.463,18,3,night,sunny,47
USER014,2025-10-12 04:42:50.466,2,3,night,sunny,47
USER001,2025-10-23 22:01:23.457,31,4,afternoon,cloudy,47
USER012,2025-08-25 18:16:15.463,1,0,afternoon,snowy,47
USER005,2025-10-12 06:41:58.456,27,2,morning,cloudy,47
USER017,2025-09-27 02:35:49.465,9,6,evening,sunny,47
USER005,2025-10-19 17:29:34.460,10,2,morning,snowy,47
USER012,2025-10-27 13:33:20.456,20,3,afternoon,cloudy,47
USER014,2025-08-18 23:59:49.465,15,6,evening,cloudy,47
USER018,2025-08-13 09:14:08.465,-9,4,evening,snowy,47
USER017,2025-09-10 21:58:20.458,33,2,evening,snowy,47
USER011,2025-10-25 08:06:03.465,11,3,afternoon,cloudy,47
USER019,2025-10-29 16:18:12.461,17,1,night,cloudy,47
USER008,2025-10-10 06:31:08.466,23,0,night,cloudy,47
USER001,2025-09-14 11:56:02.457,1,6,afternoon,cloudy,47
USER005,2025-09-28 05:07:11.466,-6,0,night,rainy,47
USER004,2025-08-25 21:49:22.459,14,0,night,cloudy,47
USER012,2025-08-12 05:06:07.460,28,5,evening,rainy,47
USER015,2025-10-25 17:03:01.459,17,1,night,cloudy,47
USER004,2025-08-10 14:58:07.466,18,1,afternoon,snowy,47
USER013,2025-09-17 04:42:59.456,-3,1,afternoon,snowy,47
USER010,2025-10-15 02:28:52.460,1,1,afternoon,snowy,47
USER014,2025-08-11 23:40:57.457,17,6,morning,snowy,47
USER010,2025-11-01 00:07:25.458,31,6,morning,snowy,47
USER011,2025-08-21 14:54:58.458,-2,5,evening,cloudy,47
USER009,2025-08-26 12:37:18.456,-2,2,morning,snowy,47
USER020,2025-08-18 13:57:21.459,6,2,morning,sunny,47
