user_id,timestamp,temperature,time_of_the_day,behaviour,frequency_crossing,anomalous_probability,anomaly_reason,behavior,feature_count,normal_probability,prediction_confidence,prediction_timestamp,used_user_model
USER016,2025-08-23 21:07:25.162,-21,night,anomalous,15,,,,,,,,
USER012,2025-04-05 07:30:15.218,6,afternoon,normal,277,,,,,,,,
USER001,2025-05-21 07:35:03.523,47,afternoon,anomalous,766,,,,,,,,
USER020,2025-02-25 13:06:40.756,45,evening,normal,435,,,,,,,,
USER001,2025-06-04 09:58:34.795,-14,afternoon,anomalous,956,,,,,,,,
USER009,2025-07-21 23:25:07.990,39,night,normal,592,,,,,,,,
USER013,2025-04-01 00:47:05.602,17,morning,normal,788,,,,,,,,
USER009,2025-01-20 12:53:47.054,38,evening,anomalous,906,,,,,,,,
USER012,2025-06-10 12:53:38.426,-20,evening,anomalous,658,,,,,,,,
USER011,2025-01-01 12:28:40.892,-11,evening,normal,862,,,,,,,,
USER020,2025-07-22 16:26:17.025,11,evening,normal,564,,,,,,,,
USER017,2025-11-05 23:53:18.389,34,morning,normal,551,,,,,,,,
USER017,2025-05-17 02:42:56.193,5,morning,anomalous,98,,,,,,,,
USER003,2025-10-14 16:04:48.402,-46,evening,anomalous,249,,,,,,,,
USER005,2025-06-26 17:36:11.269,-17,night,normal,650,,,,,,,,
USER016,2025-06-10 20:10:47.021,40,night,normal,854,,,,,,,,
USER003,2025-11-02 07:00:40.583,-2,afternoon,anomalous,155,,,,,,,,
USER004,2025-12-23 00:21:15.946,59,morning,normal,916,,,,,,,,
USER019,2025-11-09 16:34:56.215,57,night,normal,50,,,,,,,,
USER015,2025-06-08 17:40:03.489,44,night,anomalous,523,,,,,,,,
USER014,2025-01-25 13:05:04.169,-7,evening,anomalous,993,,,,,,,,
USER002,2025-01-25 20:22:49.778,39,night,anomalous,80,,,,,,,,
USER012,2025-02-14 05:15:44.585,17,morning,normal,370,,,,,,,,
USER013,2025-04-20 15:33:21.589,-31,evening,anomalous,666,,,,,,,,
USER010,2025-01-27 08:32:13.074,16,afternoon,anomalous,814,,,,,,,,
USER005,2025-10-13 00:16:52.985,-18,morning,anomalous,242,,,,,,,,
USER006,2025-12-29 07:41:15.027,-1,afternoon,normal,525,0.11476340144872665,,normal,10.0,0.8852366209030151,0.8852366209030151,2025-11-07 03:40:10.450,True
USER009,2025-08-12 23:52:05.945,-26,morning,normal,994,,,,,,,,
USER005,2025-07-01 03:36:32.467,23,morning,normal,970,,,,,,,,
USER008,2025-01-20 04:36:43.589,31,morning,normal,868,,,,,,,,
USER003,2025-09-10 13:03:32.028,-35,evening,normal,621,,,,,,,,
USER002,2025-09-03 17:29:03.931,-42,night,normal,515,,,,,,,,
USER001,2025-10-31 21:56:55.575,55,night,normal,206,,,,,,,,
USER004,2025-04-05 06:11:50.043,-25,morning,anomalous,958,,,,,,,,
USER007,2025-10-04 05:39:16.029,18,morning,anomalous,709,,,,,,,,
USER002,2025-12-29 04:47:52.373,-46,morning,anomalous,934,,,,,,,,
USER018,2025-05-01 19:05:46.850,-39,night,anomalous,482,,,,,,,,
USER018,2025-09-24 08:13:25.591,-38,afternoon,anomalous,651,,,,,,,,
USER020,2025-03-20 18:40:55.759,-29,night,normal,36,,,,,,,,
USER005,2025-12-05 21:11:30.885,33,night,normal,980,,,,,,,,
USER014,2025-05-10 08:54:15.821,-3,afternoon,anomalous,26,,,,,,,,
USER001,2025-08-12 23:07:16.932,57,night,normal,355,,,,,,,,
USER005,2025-03-09 15:25:16.307,6,evening,normal,214,,,,,,,,
USER012,2025-05-02 15:55:54.546,51,evening,normal,984,,,,,,,,
USER015,2025-01-04 21:55:25.093,-34,night,anomalous,253,,,,,,,,
USER016,2025-12-07 04:35:06.320,47,morning,anomalous,686,,,,,,,,
USER010,2025-03-05 14:06:03.141,54,evening,normal,404,,,,,,,,
USER020,2025-02-12 15:36:21.588,49,evening,normal,948,,,,,,,,
USER011,2025-04-28 17:39:20.946,53,night,normal,426,,,,,,,,
USER012,2025-12-09 20:26:51.114,-30,night,anomalous,78,,,,,,,,
USER020,2025-07-27 03:11:54.067,2,morning,anomalous,327,,,,,,,,
USER013,2025-03-17 10:39:05.162,8,afternoon,normal,18,,,,,,,,
USER001,2025-04-07 15:30:19.095,22,evening,anomalous,7,,,,,,,,
USER013,2025-06-02 07:49:05.237,-17,afternoon,normal,456,,,,,,,,
USER015,2025-05-13 20:48:33.262,-10,night,normal,716,,,,,,,,
USER018,2025-08-19 20:42:42.398,-1,night,normal,8,,,,,,,,
USER003,2025-10-26 16:24:33.859,8,evening,anomalous,114,,,,,,,,
USER003,2025-01-11 23:03:19.791,-17,night,normal,980,,,,,,,,
USER017,2025-09-17 13:23:42.159,-3,evening,anomalous,658,,,,,,,,
USER009,2025-07-27 20:21:12.841,18,night,anomalous,574,,,,,,,,
USER009,2025-04-18 21:38:23.200,46,night,normal,744,,,,,,,,
USER004,2025-04-23 16:04:28.713,32,evening,anomalous,92,,,,,,,,
USER018,2025-06-06 12:01:30.305,34,evening,anomalous,942,,,,,,,,
USER005,2025-05-22 16:38:11.580,-18,night,normal,984,,,,,,,,
USER008,2025-07-23 15:56:19.727,58,evening,normal,521,,,,,,,,
USER016,2025-08-02 05:26:10.819,-33,morning,normal,800,,,,,,,,
USER007,2025-10-06 13:43:14.312,53,evening,anomalous,424,,,,,,,,
USER009,2025-06-17 13:25:57.657,41,evening,normal,879,,,,,,,,
USER018,2025-03-13 13:55:36.636,-4,evening,anomalous,115,,,,,,,,
USER014,2025-06-07 11:07:30.131,-2,afternoon,normal,212,,,,,,,,
USER015,2025-03-18 08:01:25.236,-22,afternoon,normal,464,,,,,,,,
USER019,2025-03-11 17:46:19.109,55,night,normal,404,,,,,,,,
USER018,2025-12-30 01:54:08.017,25,morning,anomalous,124,,,,,,,,
USER005,2025-04-23 12:00:17.032,-17,evening,anomalous,303,,,,,,,,
USER006,2025-03-20 03:38:17.466,-15,morning,anomalous,654,,,,,,,,
USER014,2025-12-07 03:36:01.089,1,morning,anomalous,475,,,,,,,,
USER003,2025-05-08 14:51:33.271,-13,evening,normal,987,,,,,,,,
USER017,2025-04-19 00:48:18.012,13,morning,normal,592,,,,,,,,
USER009,2025-07-16 15:32:48.146,-40,evening,normal,631,,,,,,,,
USER019,2025-01-02 06:57:05.015,-37,afternoon,anomalous,276,,,,,,,,
USER010,2025-04-11 00:57:29.776,-42,morning,normal,67,,,,,,,,
USER010,2025-04-20 03:11:38.801,-38,morning,anomalous,387,,,,,,,,
USER016,2025-05-26 14:53:49.326,44,evening,anomalous,871,,,,,,,,
USER017,2025-03-25 06:08:39.761,-31,morning,anomalous,167,,,,,,,,
USER011,2025-08-26 17:55:53.919,14,night,normal,430,,,,,,,,
USER001,2025-04-25 13:56:34.982,-41,evening,normal,563,,,,,,,,
USER017,2025-02-11 10:31:26.410,42,afternoon,normal,823,,,,,,,,
USER018,2025-11-29 09:21:46.605,-12,afternoon,anomalous,122,,,,,,,,
USER004,2025-05-30 12:04:43.120,-24,evening,normal,291,,,,,,,,
USER003,2025-08-21 07:54:23.753,32,afternoon,normal,480,,,,,,,,
USER005,2025-08-04 08:37:43.967,41,afternoon,normal,863,,,,,,,,
USER014,2025-08-12 06:35:01.532,51,afternoon,normal,104,,,,,,,,
USER015,2025-09-18 03:36:23.894,11,morning,anomalous,964,,,,,,,,
USER012,2025-04-10 16:35:50.888,38,night,anomalous,976,,,,,,,,
USER017,2025-02-26 09:52:26.935,17,afternoon,normal,329,,,,,,,,
USER014,2025-05-15 12:35:15.894,12,evening,normal,570,,,,,,,,
USER011,2025-05-31 23:43:59.091,0,morning,anomalous,974,,,,,,,,
USER014,2025-03-01 10:43:34.509,24,afternoon,normal,548,,,,,,,,
USER017,2025-04-02 22:28:09.040,-7,night,anomalous,915,,,,,,,,
USER002,2025-08-15 19:19:34.456,-10,night,anomalous,140,,,,,,,,
USER007,2025-12-19 12:40:22.076,6,evening,anomalous,514,,,,,,,,
USER016,2025-08-09 05:45:20.723,46,morning,anomalous,6,,,,,,,,
USER006,2025-06-04 14:16:25.256,-10,evening,anomalous,638,,,,,,,,
USER008,2025-09-26 00:05:38.033,56,morning,normal,246,,,,,,,,
USER017,2025-06-05 16:08:06.176,25,evening,anomalous,860,,,,,,,,
USER014,2025-03-08 00:53:06.378,46,morning,normal,272,,,,,,,,
USER016,2025-12-04 20:23:05.058,16,night,normal,230,,,,,,,,
USER013,2025-02-06 16:36:40.602,31,night,anomalous,834,,,,,,,,
USER011,2025-08-09 02:51:50.142,-35,morning,anomalous,794,,,,,,,,
USER002,2025-11-28 02:10:49.515,-6,morning,normal,608,,,,,,,,
USER008,2025-04-06 03:03:52.727,3,morning,anomalous,128,,,,,,,,
USER019,2025-01-18 00:03:31.851,25,morning,anomalous,856,,,,,,,,
USER020,2025-04-26 09:56:16.071,11,afternoon,normal,281,,,,,,,,
USER020,2025-09-16 07:56:30.243,21,afternoon,anomalous,870,,,,,,,,
USER020,2025-03-15 20:00:56.113,-28,night,anomalous,961,,,,,,,,
USER005,2025-08-24 19:50:04.758,21,night,anomalous,810,,,,,,,,
USER010,2025-10-14 10:15:23.385,37,afternoon,normal,11,,,,,,,,
USER004,2025-11-06 12:24:40.540,-23,evening,anomalous,439,,,,,,,,
USER017,2025-12-13 09:49:45.931,24,afternoon,anomalous,950,,,,,,,,
USER015,2025-03-10 03:08:17.244,52,morning,anomalous,944,,,,,,,,
USER009,2025-09-23 15:02:11.278,27,evening,anomalous,648,,,,,,,,
USER015,2025-09-09 07:17:00.263,-3,afternoon,normal,206,,,,,,,,
USER014,2025-02-23 05:54:21.470,29,morning,normal,295,,,,,,,,
USER002,2025-04-21 10:06:35.749,23,afternoon,anomalous,75,,,,,,,,
USER008,2025-08-27 02:46:51.102,-16,morning,anomalous,868,,,,,,,,
USER017,2025-06-21 13:46:35.124,-26,evening,anomalous,945,,,,,,,,
USER003,2025-05-07 19:43:03.307,-20,night,normal,590,,,,,,,,
USER018,2025-09-24 07:00:10.851,39,afternoon,anomalous,590,,,,,,,,
USER020,2025-12-20 14:04:15.891,59,evening,anomalous,484,,,,,,,,
USER020,2025-10-31 20:21:19.510,37,night,anomalous,840,,,,,,,,
USER015,2025-06-28 05:23:04.752,-38,morning,anomalous,840,,,,,,,,
USER007,2025-07-18 14:27:06.855,1,evening,anomalous,188,,,,,,,,
USER003,2025-11-30 02:34:15.198,20,morning,anomalous,153,,,,,,,,
USER018,2025-05-18 12:00:58.113,-41,evening,normal,655,,,,,,,,
USER014,2025-12-09 02:45:05.308,-46,morning,normal,79,,,,,,,,
USER002,2025-03-13 04:38:40.330,46,morning,normal,994,,,,,,,,
USER007,2025-12-14 03:08:56.115,3,morning,normal,213,,,,,,,,
USER010,2025-08-27 10:22:58.566,24,afternoon,anomalous,636,,,,,,,,
USER008,2025-11-07 10:55:20.800,-48,afternoon,anomalous,367,,,,,,,,
USER007,2025-03-22 13:41:34.695,44,evening,normal,985,,,,,,,,
USER017,2025-08-23 18:46:36.382,36,night,normal,879,,,,,,,,
USER014,2025-05-23 04:37:22.739,-26,morning,anomalous,452,,,,,,,,
USER011,2025-11-01 10:34:51.184,-48,afternoon,anomalous,373,,,,,,,,
USER018,2025-10-02 11:02:14.207,58,afternoon,normal,315,,,,,,,,
USER006,2025-08-04 02:06:04.632,27,morning,normal,883,,,,,,,,
USER003,2025-04-30 15:14:14.682,-18,evening,anomalous,623,,,,,,,,
USER008,2025-04-05 05:40:42.025,-21,morning,normal,158,,,,,,,,
USER018,2025-04-16 09:43:02.059,35,afternoon,anomalous,115,,,,,,,,
USER004,2025-06-24 02:48:18.291,-46,morning,normal,856,,,,,,,,
USER016,2025-11-15 02:46:56.583,-47,morning,anomalous,906,,,,,,,,
USER012,2025-07-27 19:47:35.743,49,night,anomalous,585,,,,,,,,
USER020,2025-04-19 14:58:29.824,32,evening,anomalous,568,,,,,,,,
USER017,2025-11-25 08:17:41.960,52,afternoon,normal,843,,,,,,,,
USER018,2025-04-07 12:43:55.089,-27,evening,anomalous,364,,,,,,,,
USER005,2025-07-08 22:21:46.377,57,night,normal,322,,,,,,,,
USER014,2025-04-06 13:48:44.616,-43,evening,anomalous,73,,,,,,,,
USER014,2025-01-06 21:53:39.141,-43,night,normal,268,,,,,,,,
USER013,2025-10-18 04:49:19.952,11,morning,anomalous,904,,,,,,,,
USER009,2025-01-01 18:22:21.394,-22,night,normal,879,,,,,,,,
USER006,2025-10-12 08:21:21.291,58,afternoon,normal,124,,,,,,,,
USER020,2025-02-03 14:56:43.372,4,evening,anomalous,227,,,,,,,,
USER004,2025-12-21 13:01:34.591,1,evening,normal,820,,,,,,,,
USER002,2025-11-28 14:34:04.265,-19,evening,anomalous,523,,,,,,,,
USER010,2025-11-03 16:11:52.921,12,evening,normal,938,,,,,,,,
USER012,2025-09-05 02:29:47.371,4,morning,anomalous,2,,,,,,,,
USER012,2025-04-04 11:45:50.594,30,evening,anomalous,679,,,,,,,,
USER004,2025-02-25 16:42:21.947,-39,night,normal,834,,,,,,,,
USER010,2025-08-17 22:06:18.201,34,night,anomalous,923,,,,,,,,
USER002,2025-01-21 07:47:35.062,37,afternoon,normal,788,,,,,,,,
USER012,2025-06-30 12:16:19.264,4,evening,anomalous,268,,,,,,,,
USER005,2025-06-12 17:34:05.022,41,night,normal,495,,,,,,,,
USER013,2025-01-28 17:39:40.860,30,night,normal,815,,,,,,,,
USER003,2025-02-27 09:59:05.715,-48,afternoon,normal,904,,,,,,,,
USER006,2025-02-13 22:36:13.771,39,night,normal,109,,,,,,,,
USER008,2025-02-02 05:48:41.521,-33,morning,normal,74,,,,,,,,
USER019,2025-10-08 18:19:38.960,35,night,normal,218,,,,,,,,
USER011,2025-08-16 05:20:32.591,3,morning,normal,260,,,,,,,,
USER012,2025-10-08 16:42:38.507,-39,night,anomalous,539,,,,,,,,
USER009,2025-07-17 18:16:27.277,32,night,normal,730,,,,,,,,
USER007,2025-10-21 06:22:23.172,39,morning,normal,437,,,,,,,,
USER016,2025-01-14 06:09:40.302,20,morning,normal,174,,,,,,,,
USER006,2025-09-26 05:55:45.000,-39,morning,normal,514,,,,,,,,
USER004,2025-10-17 11:49:56.952,33,evening,normal,589,,,,,,,,
USER009,2025-03-27 00:16:27.358,-38,morning,normal,799,,,,,,,,
USER008,2025-06-25 04:16:29.601,22,morning,normal,848,,,,,,,,
USER006,2025-01-25 13:56:30.486,-46,evening,normal,219,,,,,,,,
USER007,2025-02-20 04:53:58.324,-15,morning,anomalous,592,,,,,,,,
USER008,2025-09-15 11:54:20.166,-26,evening,anomalous,138,,,,,,,,
USER002,2025-01-08 13:21:07.430,45,evening,normal,742,,,,,,,,
USER020,2025-11-16 21:00:29.760,-33,night,normal,251,,,,,,,,
USER005,2025-05-19 03:52:19.461,23,morning,anomalous,229,,,,,,,,
USER011,2025-09-05 14:59:21.823,-4,evening,normal,922,,,,,,,,
USER003,2025-01-15 18:45:08.172,7,night,anomalous,662,,,,,,,,
USER007,2025-06-02 00:33:55.853,7,morning,normal,66,,,,,,,,
USER002,2025-05-19 05:40:20.089,-27,morning,normal,77,,,,,,,,
USER002,2025-03-12 03:57:42.485,-19,morning,normal,659,,,,,,,,
USER008,2025-06-14 22:54:51.818,19,night,normal,304,,,,,,,,
USER005,2025-10-02 08:06:10.283,-1,afternoon,normal,969,,,,,,,,
USER018,2025-02-26 09:45:16.882,-47,afternoon,anomalous,962,,,,,,,,
USER003,2025-06-06 13:47:57.060,10,evening,anomalous,971,,,,,,,,
USER011,2025-09-23 05:24:31.981,7,morning,normal,41,,,,,,,,
USER011,2025-02-27 01:33:03.997,-14,morning,anomalous,61,,,,,,,,
USER004,2025-07-22 04:23:01.582,26,morning,anomalous,552,,,,,,,,
USER002,2025-10-15 09:45:34.132,2,afternoon,anomalous,140,,,,,,,,
USER001,2025-10-09 00:33:55.516,31,morning,normal,726,,,,,,,,
USER005,2025-11-03 13:07:38.306,-17,evening,normal,994,,,,,,,,
USER012,2025-06-03 09:15:20.613,-14,afternoon,normal,34,,,,,,,,
USER015,2025-02-03 10:32:20.921,-14,afternoon,normal,960,,,,,,,,
USER018,2025-09-11 20:25:43.938,43,night,normal,827,,,,,,,,
USER018,2025-12-12 16:03:20.444,-45,evening,anomalous,52,,,,,,,,
USER015,2025-11-19 18:24:38.226,-38,night,normal,817,,,,,,,,
USER017,2025-02-10 18:52:44.607,10,night,normal,980,,,,,,,,
USER020,2025-07-06 22:26:42.225,46,night,normal,275,,,,,,,,
USER006,2025-09-07 12:50:53.806,7,evening,anomalous,927,,,,,,,,
USER018,2025-05-06 08:45:29.948,28,afternoon,anomalous,460,,,,,,,,
USER003,2025-09-26 03:34:13.369,5,morning,normal,654,,,,,,,,
USER019,2025-02-18 20:14:13.553,-46,night,anomalous,219,,,,,,,,
USER013,2025-12-06 12:16:17.849,-40,evening,normal,716,,,,,,,,
USER005,2025-12-22 15:26:18.808,25,evening,normal,895,,,,,,,,
USER003,2025-09-09 13:45:10.400,-3,evening,anomalous,720,,,,,,,,
USER018,2025-07-22 19:32:42.071,57,night,anomalous,674,,,,,,,,
USER013,2025-02-25 20:08:04.019,20,night,anomalous,859,,,,,,,,
USER013,2025-08-26 04:52:07.666,-2,morning,anomalous,301,,,,,,,,
USER008,2025-09-23 21:56:27.270,22,night,anomalous,261,,,,,,,,
USER008,2025-11-03 06:16:53.237,-47,morning,anomalous,83,,,,,,,,
USER017,2025-08-19 11:58:05.059,-48,evening,anomalous,203,,,,,,,,
USER009,2025-04-10 09:53:04.841,46,afternoon,anomalous,742,,,,,,,,
USER002,2025-05-06 17:38:00.390,55,night,normal,721,,,,,,,,
USER012,2025-01-01 20:27:57.588,-38,night,anomalous,672,,,,,,,,
USER012,2025-08-28 06:27:14.229,-8,morning,normal,210,,,,,,,,
USER015,2025-09-13 23:41:36.294,30,morning,normal,456,,,,,,,,
USER013,2025-07-13 09:20:13.651,-28,afternoon,anomalous,512,,,,,,,,
USER008,2025-10-24 11:40:10.939,24,evening,normal,740,,,,,,,,
USER015,2025-03-20 10:02:52.715,-23,afternoon,normal,453,,,,,,,,
USER017,2025-10-17 05:04:04.660,-26,morning,anomalous,434,,,,,,,,
USER005,2025-08-27 22:45:41.055,18,night,anomalous,105,,,,,,,,
USER017,2025-02-06 10:53:00.135,-38,afternoon,anomalous,54,,,,,,,,
USER010,2025-01-03 07:29:10.069,29,afternoon,normal,494,,,,,,,,
USER018,2025-10-30 04:16:45.652,38,morning,normal,651,,,,,,,,
USER018,2025-10-19 23:44:33.221,3,morning,normal,980,,,,,,,,
USER012,2025-07-27 07:54:46.307,-36,afternoon,anomalous,621,,,,,,,,
USER001,2025-05-25 01:54:20.455,-5,morning,anomalous,475,,,,,,,,
USER016,2025-09-12 05:10:46.354,-39,morning,anomalous,510,,,,,,,,
USER020,2025-12-10 23:59:47.268,-22,morning,anomalous,555,,,,,,,,
USER015,2025-11-26 17:12:53.222,23,night,normal,886,,,,,,,,
USER004,2025-11-24 01:45:57.518,22,morning,anomalous,109,,,,,,,,
USER016,2025-07-03 15:28:51.389,-17,evening,anomalous,906,,,,,,,,
USER004,2025-05-09 15:43:38.052,-1,evening,anomalous,852,,,,,,,,
USER020,2025-09-06 19:15:03.134,5,night,anomalous,201,,,,,,,,
USER011,2025-08-01 04:21:12.808,-19,morning,anomalous,727,,,,,,,,
USER007,2025-12-14 15:55:32.315,1,evening,anomalous,26,,,,,,,,
USER003,2025-02-14 01:58:48.259,-36,morning,anomalous,247,,,,,,,,
USER017,2025-06-25 07:23:44.215,50,afternoon,normal,473,,,,,,,,
USER019,2025-09-06 09:47:53.075,-10,afternoon,normal,698,,,,,,,,
USER004,2025-09-06 23:57:30.179,42,morning,anomalous,970,,,,,,,,
USER004,2025-10-05 08:11:55.394,-49,afternoon,anomalous,99,,,,,,,,
USER019,2025-12-21 07:22:18.952,-29,afternoon,normal,69,,,,,,,,
USER008,2025-10-05 18:49:24.085,36,night,normal,342,,,,,,,,
USER017,2025-06-17 03:07:40.602,42,morning,anomalous,295,,,,,,,,
USER017,2025-05-06 12:45:19.076,15,evening,anomalous,113,,,,,,,,
USER015,2025-11-21 16:33:18.162,-43,night,normal,301,,,,,,,,
USER019,2025-04-16 15:49:12.939,-8,evening,anomalous,863,,,,,,,,
USER017,2025-06-02 03:36:56.558,-50,morning,anomalous,348,,,,,,,,
USER006,2025-05-11 16:28:08.015,-50,evening,normal,599,,,,,,,,
USER006,2025-11-10 05:00:12.463,-20,morning,normal,865,,,,,,,,
USER017,2025-03-26 03:42:56.094,58,morning,anomalous,809,,,,,,,,
USER005,2025-10-15 22:32:32.363,9,night,normal,108,,,,,,,,
USER020,2025-12-07 05:29:36.467,45,morning,normal,609,,,,,,,,
USER007,2025-09-22 13:10:05.959,30,evening,anomalous,604,,,,,,,,
USER500,2025-11-06 22:14:42.146,25,morning,,150,0.4,,normal,10.0,0.6,0.6,2025-11-07 03:45:38.960,False
USER010,2025-10-06 22:36:17.470,34,night,anomalous,429,,,,,,,,
USER015,2025-08-20 00:14:10.442,-37,morning,normal,663,,,,,,,,
USER016,2025-05-16 08:45:00.810,-3,afternoon,anomalous,240,,,,,,,,
USER004,2025-07-28 05:49:12.606,-25,morning,anomalous,25,,,,,,,,
USER020,2025-02-02 22:18:19.208,56,night,anomalous,928,,,,,,,,
USER014,2025-03-29 06:00:17.533,2,morning,normal,3,,,,,,,,
USER003,2025-01-14 07:06:16.257,57,afternoon,anomalous,10,,,,,,,,
USER003,2025-04-09 02:41:26.349,42,morning,anomalous,808,,,,,,,,
USER007,2025-08-02 16:16:38.402,-1,evening,normal,157,,,,,,,,
USER006,2025-04-14 08:00:34.991,37,afternoon,anomalous,828,,,,,,,,
USER012,2025-02-19 04:45:16.815,24,morning,normal,144,,,,,,,,
USER007,2025-08-06 00:36:23.198,8,morning,normal,302,,,,,,,,
USER015,2025-09-12 17:50:26.441,43,night,normal,143,,,,,,,,
USER016,2025-10-25 05:05:12.196,-44,morning,normal,473,,,,,,,,
USER002,2025-06-14 23:59:55.792,-2,morning,normal,89,,,,,,,,
USER005,2025-11-01 14:07:34.049,8,evening,anomalous,508,,,,,,,,
USER014,2025-07-18 10:02:21.530,35,afternoon,normal,809,,,,,,,,
USER014,2025-01-02 04:18:20.323,25,morning,normal,171,,,,,,,,
USER016,2025-02-24 13:07:27.976,-4,evening,anomalous,415,,,,,,,,
USER002,2025-12-11 08:33:23.068,-45,afternoon,normal,710,,,,,,,,
USER001,2025-05-01 01:39:30.897,25,morning,anomalous,734,,,,,,,,
USER001,2025-01-02 13:50:45.321,50,evening,normal,745,,,,,,,,
USER012,2025-03-14 01:22:04.722,-10,morning,normal,605,,,,,,,,
USER001,2025-09-13 18:20:56.986,20,night,anomalous,409,,,,,,,,
USER002,2025-07-30 08:44:37.470,-28,afternoon,normal,113,,,,,,,,
USER014,2025-08-16 18:37:44.361,-3,night,normal,607,,,,,,,,
USER010,2025-09-26 18:07:54.503,-49,night,anomalous,438,,,,,,,,
USER012,2025-03-09 13:25:26.531,47,evening,anomalous,780,,,,,,,,
USER009,2025-01-12 10:47:07.269,22,afternoon,normal,87,,,,,,,,
USER015,2025-04-02 22:33:39.700,-26,night,anomalous,336,,,,,,,,
USER017,2025-03-31 12:11:46.167,-10,evening,normal,637,,,,,,,,
USER018,2025-09-25 03:38:36.486,-31,morning,normal,65,,,,,,,,
USER003,2025-01-02 19:30:42.955,16,night,normal,345,,,,,,,,
USER017,2025-12-01 00:22:17.784,-43,morning,normal,707,,,,,,,,
USER013,2025-10-22 17:37:14.920,-14,night,normal,130,,,,,,,,
USER002,2025-06-03 22:22:05.824,-35,night,anomalous,67,,,,,,,,
USER006,2025-02-12 06:27:45.270,-21,morning,anomalous,215,,,,,,,,
USER004,2025-04-26 09:02:51.660,18,afternoon,normal,762,,,,,,,,
USER002,2025-04-13 11:18:39.992,10,afternoon,anomalous,879,,,,,,,,
USER019,2025-08-31 08:56:12.019,8,afternoon,normal,51,,,,,,,,
USER020,2025-06-13 00:24:31.011,-34,morning,normal,95,,,,,,,,
USER018,2025-04-25 17:16:03.632,30,night,anomalous,849,,,,,,,,
USER014,2025-12-29 12:46:11.438,40,evening,normal,402,,,,,,,,
USER004,2025-02-26 02:39:12.995,-39,morning,normal,325,,,,,,,,
USER004,2025-01-07 03:14:01.656,0,morning,normal,50,,,,,,,,
