user_id,timestamp,temperature,time_of_the_day,behaviour,frequency_crossing,weather_conditions,day_of_week,anomalous_probability,anomaly_reason,behavior,feature_count,normal_probability,prediction_confidence,prediction_timestamp,used_user_model
USER018,2025-08-27 18:46:33.947,5,night,anomalous,364,rainy,3,,,,,,,,
USER001,2025-04-25 13:56:34.982,-41,evening,normal,563,rainy,4,,,,,,,,
USER006,2025-04-24 20:37:22.110,54,night,anomalous,33,sunny,3,,,,,,,,
USER001,2025-10-09 21:18:29.258,-46,night,normal,740,snowy,4,,,,,,,,
USER009,2025-03-02 00:02:42.669,42,morning,normal,640,cloudy,4,,,,,,,,
USER003,2025-06-28 16:16:01.659,-47,evening,normal,397,snowy,2,,,,,,,,
USER012,2025-04-05 07:30:15.218,6,afternoon,normal,277,snowy,6,,,,,,,,
USER018,2025-08-24 17:51:58.607,32,night,anomalous,953,cloudy,3,,,,,,,,
USER008,2025-03-26 17:46:07.060,58,night,anomalous,473,rainy,2,,,,,,,,
USER002,2025-05-06 17:38:00.390,55,night,normal,721,snowy,3,,,,,,,,
USER001,2025-05-02 06:45:39.523,-5,afternoon,anomalous,307,rainy,1,,,,,,,,
USER015,2025-07-22 09:32:14.012,45,afternoon,normal,495,rainy,2,,,,,,,,
USER016,2025-05-25 21:32:13.420,3,night,normal,653,cloudy,4,,,,,,,,
USER008,2025-08-27 02:46:51.102,-16,morning,anomalous,868,sunny,3,,,,,,,,
USER014,2025-05-23 04:37:22.739,-26,morning,anomalous,452,cloudy,4,,,,,,,,
USER002,2025-04-13 11:18:39.992,10,afternoon,anomalous,879,rainy,3,,,,,,,,
USER007,2025-12-09 11:50:38.547,41,evening,anomalous,97,cloudy,5,,,,,,,,
USER016,2025-01-21 23:06:44.590,-29,night,anomalous,995,snowy,4,,,,,,,,
USER013,2025-11-05 12:34:51.962,-49,evening,normal,614,sunny,5,,,,,,,,
USER003,2025-01-15 14:02:09.921,-39,evening,normal,525,cloudy,5,,,,,,,,
USER001,2025-06-11 13:51:40.763,1,evening,anomalous,626,cloudy,6,,,,,,,,
USER020,2025-12-20 14:04:15.891,59,evening,anomalous,484,rainy,2,,,,,,,,
USER011,2025-05-25 09:15:53.389,-34,afternoon,anomalous,522,sunny,1,,,,,,,,
USER011,2025-10-15 01:01:25.290,-3,morning,anomalous,994,sunny,6,,,,,,,,
USER015,2025-09-13 23:41:36.294,30,morning,normal,456,cloudy,4,,,,,,,,
USER007,2025-02-20 04:53:58.324,-15,morning,anomalous,592,rainy,1,,,,,,,,
USER006,2025-03-01 23:15:17.093,-6,night,anomalous,943,snowy,6,,,,,,,,
USER019,2025-06-12 07:24:53.370,-45,afternoon,normal,80,cloudy,2,,,,,,,,
USER003,2025-05-07 19:43:03.307,-20,night,normal,590,rainy,3,,,,,,,,
USER008,2025-11-04 09:03:28.676,-9,afternoon,normal,552,rainy,5,,,,,,,,
USER013,2025-10-10 07:27:05.458,57,afternoon,normal,101,sunny,0,,,,,,,,
USER017,2025-03-31 12:11:46.167,-10,evening,normal,637,snowy,0,,,,,,,,
USER012,2025-12-29 13:06:37.459,-8,evening,anomalous,694,cloudy,1,,,,,,,,
USER016,2025-07-03 15:28:51.389,-17,evening,anomalous,906,cloudy,4,,,,,,,,
USER018,2025-04-25 17:16:03.632,30,night,anomalous,849,snowy,2,,,,,,,,
USER014,2025-03-29 14:52:57.562,-6,evening,normal,964,sunny,3,,,,,,,,
USER008,2025-07-23 15:56:19.727,58,evening,normal,521,snowy,3,,,,,,,,
USER002,2025-05-05 08:24:00.508,-42,afternoon,anomalous,153,snowy,4,,,,,,,,
USER018,2025-04-18 15:56:40.452,36,evening,normal,297,sunny,2,,,,,,,,
USER007,2025-12-02 11:03:43.268,3,afternoon,normal,423,rainy,2,,,,,,,,
USER004,2025-10-24 07:51:27.513,40,afternoon,anomalous,688,sunny,6,,,,,,,,
USER007,2025-12-30 05:07:34.339,42,morning,normal,106,sunny,0,,,,,,,,
USER017,2025-06-21 13:46:35.124,-26,evening,anomalous,945,snowy,4,,,,,,,,
USER015,2025-05-25 14:43:58.254,9,evening,normal,789,cloudy,0,,,,,,,,
USER003,2025-01-26 13:17:41.215,51,evening,anomalous,410,snowy,4,,,,,,,,
USER016,2025-11-27 18:28:04.633,-40,night,normal,284,snowy,1,,,,,,,,
USER019,2025-04-16 15:49:12.939,-8,evening,anomalous,863,snowy,2,,,,,,,,
USER008,2025-11-03 06:16:53.237,-47,morning,anomalous,83,sunny,4,,,,,,,,
USER001,2025-10-31 21:56:55.575,55,night,normal,206,snowy,5,,,,,,,,
USER017,2025-12-01 00:22:17.784,-43,morning,normal,707,sunny,2,,,,,,,,
USER007,2025-12-14 03:08:56.115,3,morning,normal,213,sunny,6,,,,,,,,
USER010,2025-11-03 16:11:52.921,12,evening,normal,938,snowy,5,,,,,,,,
USER016,2025-03-15 11:14:32.493,51,afternoon,anomalous,428,cloudy,5,,,,,,,,
USER011,2025-02-25 20:47:39.251,25,night,normal,638,snowy,4,,,,,,,,
USER004,2025-12-15 00:10:24.222,42,morning,anomalous,478,rainy,2,,,,,,,,
USER019,2025-02-03 02:36:08.359,-8,morning,anomalous,343,cloudy,1,,,,,,,,
USER011,2025-01-19 19:59:33.322,37,night,normal,339,snowy,5,,,,,,,,
USER015,2025-02-10 08:08:41.170,12,afternoon,normal,709,cloudy,4,,,,,,,,
USER001,2025-04-17 22:19:46.269,-14,night,normal,987,rainy,6,,,,,,,,
USER003,2025-10-20 09:15:45.425,2,afternoon,anomalous,705,snowy,6,,,,,,,,
USER005,2025-06-28 06:53:33.323,11,afternoon,anomalous,158,snowy,5,,,,,,,,
USER018,2025-07-24 10:56:49.220,59,afternoon,anomalous,22,cloudy,6,,,,,,,,
USER015,2025-02-03 03:12:04.682,-46,morning,normal,564,cloudy,1,,,,,,,,
USER004,2025-04-26 09:02:51.660,18,afternoon,normal,762,snowy,4,,,,,,,,
USER014,2025-02-23 05:54:21.470,29,morning,normal,295,snowy,1,,,,,,,,
USER019,2025-07-10 10:55:13.388,6,afternoon,normal,751,rainy,5,,,,,,,,
USER010,2025-03-05 14:06:03.141,54,evening,normal,404,sunny,0,,,,,,,,
USER005,2025-03-02 01:23:28.408,40,morning,anomalous,959,rainy,5,,,,,,,,
USER011,2025-09-23 05:24:31.981,7,morning,normal,41,sunny,1,,,,,,,,
USER007,2025-08-16 18:42:50.330,-4,night,anomalous,815,sunny,0,,,,,,,,
USER015,2025-08-23 06:26:10.040,-3,morning,normal,919,snowy,1,,,,,,,,
USER018,2025-05-06 08:45:29.948,28,afternoon,anomalous,460,sunny,3,,,,,,,,
USER015,2025-07-09 20:22:30.497,6,night,normal,352,sunny,4,,,,,,,,
USER006,2025-09-07 12:50:53.806,7,evening,anomalous,927,snowy,3,,,,,,,,
USER010,2025-03-02 01:24:44.169,-2,morning,normal,302,sunny,1,,,,,,,,
USER009,2025-09-23 15:02:11.278,27,evening,anomalous,648,rainy,2,,,,,,,,
USER020,2025-09-05 15:07:44.009,-31,evening,anomalous,700,sunny,0,,,,,,,,
USER007,2025-10-21 06:22:23.172,39,morning,normal,437,snowy,5,,,,,,,,
USER005,2025-08-11 15:52:07.560,-39,evening,normal,257,cloudy,2,,,,,,,,
USER006,2025-09-14 12:49:46.291,-27,evening,normal,127,snowy,0,,,,,,,,
USER004,2025-04-18 23:57:47.372,0,morning,normal,889,snowy,0,,,,,,,,
USER016,2025-10-09 15:20:49.961,-12,evening,anomalous,401,sunny,4,,,,,,,,
USER001,2025-02-03 14:58:34.717,-48,evening,normal,516,snowy,3,,,,,,,,
USER016,2025-01-06 00:23:22.822,-17,morning,normal,225,snowy,3,,,,,,,,
USER009,2025-06-17 13:25:57.657,41,evening,normal,879,snowy,2,,,,,,,,
USER018,2025-04-28 20:49:34.665,-43,night,normal,839,sunny,3,,,,,,,,
USER005,2025-05-19 03:52:19.461,23,morning,anomalous,229,snowy,2,,,,,,,,
USER015,2025-12-04 23:03:03.444,48,night,normal,752,snowy,1,,,,,,,,
USER016,2025-06-10 20:10:47.021,40,night,normal,854,snowy,2,,,,,,,,
USER016,2025-09-12 05:10:46.354,-39,morning,anomalous,510,cloudy,6,,,,,,,,
USER003,2025-01-02 19:30:42.955,16,night,normal,345,rainy,3,,,,,,,,
USER020,2025-11-15 14:07:14.089,-19,evening,normal,973,rainy,2,,,,,,,,
USER002,2025-06-22 05:17:24.681,36,morning,anomalous,113,cloudy,4,,,,,,,,
USER016,2025-12-04 20:23:05.058,16,night,normal,230,snowy,0,,,,,,,,
USER002,2025-09-30 05:34:40.808,-13,morning,anomalous,444,cloudy,0,,,,,,,,
USER006,2025-05-11 16:28:08.015,-50,evening,normal,599,rainy,3,,,,,,,,
USER009,2025-11-10 18:44:02.885,-31,night,normal,795,sunny,6,,,,,,,,
USER003,2025-10-03 00:18:14.077,-26,morning,normal,394,cloudy,6,,,,,,,,
USER017,2025-12-13 09:49:45.931,24,afternoon,anomalous,950,sunny,0,,,,,,,,
USER003,2025-11-30 02:34:15.198,20,morning,anomalous,153,snowy,5,,,,,,,,
USER005,2025-11-01 14:07:34.049,8,evening,anomalous,508,rainy,0,,,,,,,,
USER017,2025-05-19 04:42:02.519,-1,morning,anomalous,956,sunny,1,,,,,,,,
USER005,2025-06-19 06:51:16.034,6,afternoon,normal,827,rainy,2,,,,,,,,
USER012,2025-09-05 02:29:47.371,4,morning,anomalous,2,snowy,1,,,,,,,,
USER004,2025-06-21 16:21:05.190,49,evening,normal,35,rainy,6,,,,,,,,
USER017,2025-05-28 23:11:58.833,18,night,anomalous,351,rainy,3,,,,,,,,
USER005,2025-04-13 07:41:46.725,15,afternoon,anomalous,666,cloudy,4,,,,,,,,
USER008,2025-02-06 09:30:04.250,-24,afternoon,normal,778,rainy,3,,,,,,,,
USER016,2025-08-02 05:26:10.819,-33,morning,normal,800,sunny,2,,,,,,,,
USER017,2025-12-29 19:19:17.689,-34,night,normal,190,cloudy,6,,,,,,,,
USER013,2025-02-11 19:05:42.714,11,night,anomalous,532,rainy,5,,,,,,,,
USER008,2025-10-29 21:36:57.762,14,night,normal,622,rainy,0,,,,,,,,
USER001,2025-09-09 13:41:17.688,42,evening,normal,662,snowy,4,,,,,,,,
USER008,2025-01-09 04:35:40.790,-18,morning,anomalous,460,sunny,3,,,,,,,,
USER004,2025-07-10 08:47:25.086,59,afternoon,normal,192,sunny,4,,,,,,,,
USER013,2025-08-01 08:06:24.489,49,afternoon,normal,455,cloudy,0,,,,,,,,
USER011,2025-12-02 16:00:54.493,-16,evening,normal,258,sunny,1,,,,,,,,
USER019,2025-01-19 05:24:22.860,1,morning,anomalous,979,sunny,5,,,,,,,,
USER018,2025-08-27 02:07:26.026,53,morning,anomalous,183,snowy,3,,,,,,,,
USER009,2025-08-12 23:52:05.945,-26,morning,normal,994,rainy,5,,,,,,,,
USER008,2025-02-16 06:34:00.624,-41,afternoon,normal,801,rainy,0,,,,,,,,
USER020,2025-08-08 12:43:28.174,20,evening,anomalous,700,snowy,6,,,,,,,,
USER011,2025-04-07 17:24:08.417,53,night,anomalous,882,snowy,2,,,,,,,,
USER018,2025-04-24 23:45:29.921,-39,morning,normal,995,rainy,4,,,,,,,,
USER019,2025-09-28 16:41:58.686,29,night,anomalous,19,sunny,6,,,,,,,,
USER020,2025-08-15 04:29:06.788,-10,morning,anomalous,73,rainy,4,,,,,,,,
USER020,2025-07-15 02:27:06.261,30,morning,normal,233,snowy,2,,,,,,,,
USER016,2025-06-27 12:15:44.122,-45,evening,anomalous,184,cloudy,3,,,,,,,,
USER019,2025-07-09 17:36:06.725,28,night,normal,645,cloudy,5,,,,,,,,
USER013,2025-04-04 21:59:33.256,-31,night,normal,562,sunny,6,,,,,,,,
USER017,2025-06-25 07:23:44.215,50,afternoon,normal,473,sunny,0,,,,,,,,
USER014,2025-03-20 05:12:55.901,-38,morning,anomalous,431,cloudy,4,,,,,,,,
USER002,2025-10-12 10:41:23.659,1,afternoon,normal,116,rainy,0,,,,,,,,
USER006,2025-11-10 05:00:12.463,-20,morning,normal,865,rainy,2,,,,,,,,
USER015,2025-02-21 23:25:40.579,8,night,anomalous,959,rainy,6,,,,,,,,
USER016,2025-11-15 02:46:56.583,-47,morning,anomalous,906,rainy,1,,,,,,,,
USER003,2025-02-14 01:58:48.259,-36,morning,anomalous,247,rainy,6,,,,,,,,
USER004,2025-06-21 16:05:54.838,-21,evening,normal,74,sunny,1,,,,,,,,
USER016,2025-05-30 16:01:02.381,-10,evening,normal,117,rainy,1,,,,,,,,
USER010,2025-07-29 17:21:03.643,28,night,normal,616,sunny,2,,,,,,,,
USER014,2025-10-15 09:44:40.954,15,afternoon,anomalous,237,sunny,5,,,,,,,,
USER014,2025-05-29 21:10:19.817,-47,night,normal,381,cloudy,1,,,,,,,,
USER011,2025-03-15 19:10:28.628,24,night,anomalous,116,snowy,6,,,,,,,,
USER010,2025-03-17 01:12:41.540,37,morning,normal,619,snowy,2,,,,,,,,
USER015,2025-08-20 00:14:10.442,-37,morning,normal,663,rainy,2,,,,,,,,
USER019,2025-06-08 10:58:51.126,-40,afternoon,anomalous,469,snowy,0,,,,,,,,
USER011,2025-10-04 09:21:26.722,-15,afternoon,normal,494,cloudy,2,,,,,,,,
USER003,2025-03-06 23:45:36.766,36,morning,anomalous,2,cloudy,1,,,,,,,,
USER010,2025-01-23 08:47:54.761,56,afternoon,normal,286,sunny,0,,,,,,,,
USER017,2025-05-17 02:42:56.193,5,morning,anomalous,98,sunny,4,,,,,,,,
USER020,2025-12-10 23:59:47.268,-22,morning,anomalous,555,rainy,2,,,,,,,,
USER001,2025-12-08 22:19:10.019,-47,night,anomalous,392,cloudy,1,0.5580735802650452,Multiple unusual patterns detected,anomalous,10.0,0.44192641973495483,0.5580735802650452,2025-11-07 03:39:31.188,True
USER011,2025-03-21 03:17:50.866,28,morning,normal,310,cloudy,4,,,,,,,,
USER007,2025-08-08 15:13:48.022,21,evening,anomalous,244,rainy,6,,,,,,,,
USER017,2025-04-02 22:28:09.040,-7,night,anomalous,915,rainy,0,,,,,,,,
USER014,2025-05-15 12:35:15.894,12,evening,normal,570,sunny,3,,,,,,,,
USER001,2025-04-07 15:30:19.095,22,evening,anomalous,7,snowy,3,,,,,,,,
USER009,2025-05-14 15:54:56.778,-45,evening,anomalous,966,sunny,2,,,,,,,,
USER018,2025-10-28 10:14:20.506,-42,afternoon,normal,741,cloudy,1,,,,,,,,
USER015,2025-08-16 21:25:39.202,-31,night,normal,602,rainy,0,,,,,,,,
USER017,2025-03-08 00:39:48.317,-17,morning,anomalous,34,cloudy,6,,,,,,,,
USER006,2025-11-20 10:11:14.849,-27,afternoon,anomalous,898,sunny,6,,,,,,,,
USER005,2025-11-30 20:44:47.909,52,night,anomalous,571,sunny,3,,,,,,,,
USER013,2025-02-28 23:52:41.967,-35,morning,normal,651,cloudy,0,,,,,,,,
USER009,2025-09-11 14:21:47.090,-29,evening,anomalous,820,snowy,2,,,,,,,,
USER004,2025-12-21 13:01:34.591,1,evening,normal,820,rainy,2,,,,,,,,
USER020,2025-06-26 13:57:40.652,14,evening,anomalous,768,cloudy,4,,,,,,,,
USER004,2025-02-13 22:07:33.083,46,night,anomalous,37,rainy,6,,,,,,,,
USER016,2025-05-14 17:58:52.675,-31,night,normal,403,snowy,0,,,,,,,,
USER014,2025-05-01 20:44:53.448,38,night,normal,302,snowy,0,,,,,,,,
USER008,2025-10-23 11:44:42.530,36,evening,anomalous,90,snowy,1,,,,,,,,
USER005,2025-05-22 16:38:11.580,-18,night,normal,984,snowy,1,,,,,,,,
USER015,2025-07-01 15:45:19.431,58,evening,anomalous,180,rainy,5,,,,,,,,
USER014,2025-03-01 10:43:34.509,24,afternoon,normal,548,sunny,2,,,,,,,,
USER001,2025-09-13 18:20:56.986,20,night,anomalous,409,sunny,1,,,,,,,,
USER020,2025-09-06 11:17:04.584,18,afternoon,normal,691,rainy,0,,,,,,,,
USER020,2025-02-25 13:06:40.756,45,evening,normal,435,rainy,3,,,,,,,,
USER015,2025-07-23 00:04:11.972,5,morning,anomalous,452,rainy,1,,,,,,,,
USER020,2025-11-04 04:20:18.787,57,morning,anomalous,297,rainy,3,,,,,,,,
USER017,2025-03-20 23:00:09.157,34,night,normal,900,sunny,4,,,,,,,,
USER005,2025-07-08 22:21:46.377,57,night,normal,322,cloudy,0,,,,,,,,
USER010,2025-05-07 01:45:15.389,58,morning,anomalous,321,sunny,6,,,,,,,,
USER014,2025-06-20 15:18:09.465,-30,evening,normal,118,sunny,4,,,,,,,,
USER015,2025-11-26 17:12:53.222,23,night,normal,886,rainy,0,,,,,,,,
USER017,2025-01-06 16:41:49.181,28,night,normal,555,sunny,3,,,,,,,,
USER019,2025-12-21 07:22:18.952,-29,afternoon,normal,69,sunny,6,,,,,,,,
USER018,2025-06-06 12:01:30.305,34,evening,anomalous,942,sunny,0,,,,,,,,
USER001,2025-01-24 04:56:42.415,-15,morning,normal,211,sunny,1,,,,,,,,
USER002,2025-12-21 05:16:59.616,19,morning,normal,614,snowy,3,,,,,,,,
USER018,2025-11-29 09:21:46.605,-12,afternoon,anomalous,122,snowy,3,,,,,,,,
USER013,2025-09-14 23:17:35.244,35,night,anomalous,16,cloudy,5,,,,,,,,
USER012,2025-10-05 02:45:04.291,4,morning,anomalous,707,cloudy,6,,,,,,,,
USER019,2025-11-22 07:38:53.898,-18,afternoon,normal,349,cloudy,1,,,,,,,,
USER018,2025-10-01 23:12:48.870,-24,night,normal,981,rainy,0,,,,,,,,
USER020,2025-07-10 05:37:04.538,21,morning,normal,605,cloudy,4,,,,,,,,
USER012,2025-11-04 08:01:17.549,57,afternoon,anomalous,201,cloudy,0,,,,,,,,
USER016,2025-05-24 15:03:28.020,42,evening,normal,412,rainy,0,,,,,,,,
USER010,2025-04-20 03:11:38.801,-38,morning,anomalous,387,cloudy,5,,,,,,,,
USER007,2025-04-11 00:23:10.260,-40,morning,anomalous,599,snowy,6,,,,,,,,
USER004,2025-12-23 00:21:15.946,59,morning,normal,916,snowy,5,,,,,,,,
USER009,2025-07-24 12:10:20.241,28,evening,normal,447,rainy,0,,,,,,,,
USER011,2025-02-27 01:33:03.997,-14,morning,anomalous,61,cloudy,3,,,,,,,,
USER015,2025-01-04 21:55:25.093,-34,night,anomalous,253,cloudy,4,,,,,,,,
USER010,2025-12-29 12:40:45.232,-50,evening,normal,742,sunny,0,,,,,,,,
USER012,2025-11-06 05:54:48.811,44,morning,anomalous,575,rainy,6,,,,,,,,
USER007,2025-08-17 03:25:59.094,-9,morning,normal,312,snowy,0,,,,,,,,
USER004,2025-02-12 19:03:40.174,-35,night,normal,181,sunny,3,,,,,,,,
USER010,2025-07-16 03:06:57.567,-40,morning,normal,217,snowy,4,,,,,,,,
USER008,2025-02-06 13:41:54.541,49,evening,anomalous,761,cloudy,1,,,,,,,,
USER002,2025-06-03 22:22:05.824,-35,night,anomalous,67,sunny,4,,,,,,,,
USER010,2025-12-23 20:12:06.970,53,night,normal,356,sunny,5,,,,,,,,
USER009,2025-06-23 07:32:34.346,28,afternoon,normal,44,cloudy,0,,,,,,,,
USER008,2025-01-02 07:25:56.067,-24,afternoon,anomalous,423,cloudy,3,,,,,,,,
USER020,2025-11-08 18:53:30.277,39,night,anomalous,678,rainy,1,,,,,,,,
USER013,2025-07-13 09:20:13.651,-28,afternoon,anomalous,512,snowy,5,,,,,,,,
USER007,2025-01-13 09:44:00.103,48,afternoon,anomalous,323,snowy,4,,,,,,,,
USER019,2025-02-13 21:47:13.853,54,night,anomalous,131,rainy,0,,,,,,,,
USER018,2025-10-02 11:02:14.207,58,afternoon,normal,315,snowy,2,,,,,,,,
USER012,2025-04-04 11:45:50.594,30,evening,anomalous,679,snowy,4,,,,,,,,
USER005,2025-02-09 20:57:57.063,-8,night,normal,634,rainy,6,,,,,,,,
USER011,2025-03-26 16:01:36.497,28,evening,anomalous,998,cloudy,6,,,,,,,,
USER001,2025-01-02 13:50:45.321,50,evening,normal,745,rainy,0,,,,,,,,
USER018,2025-07-07 06:04:53.705,25,morning,anomalous,110,rainy,0,,,,,,,,
USER006,2025-02-17 03:12:16.034,-45,morning,normal,683,rainy,0,,,,,,,,
USER013,2025-10-24 07:50:28.722,-33,afternoon,normal,235,sunny,2,,,,,,,,
USER011,2025-08-16 05:20:32.591,3,morning,normal,260,snowy,2,,,,,,,,
USER003,2025-09-02 02:17:02.213,-37,morning,normal,583,snowy,4,,,,,,,,
USER018,2025-01-18 23:50:23.422,-43,morning,anomalous,112,cloudy,4,,,,,,,,
USER013,2025-12-04 23:07:37.207,-22,night,anomalous,358,sunny,5,,,,,,,,
USER003,2025-05-06 16:56:21.911,3,night,anomalous,101,rainy,6,,,,,,,,
USER006,2025-10-31 17:13:55.178,-41,night,normal,346,snowy,5,,,,,,,,
USER011,2025-01-01 12:28:40.892,-11,evening,normal,862,cloudy,3,,,,,,,,
USER012,2025-03-02 20:55:52.160,-43,night,normal,508,rainy,0,,,,,,,,
USER008,2025-02-02 05:48:41.521,-33,morning,normal,74,rainy,2,,,,,,,,
USER017,2025-03-21 13:08:01.337,15,evening,normal,932,sunny,1,,,,,,,,
USER005,2025-02-12 20:57:24.608,-15,night,normal,195,snowy,4,,,,,,,,
USER006,2025-06-05 04:46:48.430,0,morning,anomalous,477,cloudy,5,,,,,,,,
USER001,2025-06-04 09:58:34.795,-14,afternoon,anomalous,956,snowy,3,,,,,,,,
USER004,2025-09-14 18:47:21.266,-19,night,normal,698,sunny,6,,,,,,,,
USER016,2025-02-24 13:07:27.976,-4,evening,anomalous,415,rainy,1,,,,,,,,
USER003,2025-04-09 02:41:26.349,42,morning,anomalous,808,rainy,0,,,,,,,,
USER009,2025-03-27 00:16:27.358,-38,morning,normal,799,cloudy,0,,,,,,,,
USER010,2025-01-03 07:29:10.069,29,afternoon,normal,494,snowy,4,,,,,,,,
USER001,2025-10-22 08:19:47.301,24,afternoon,normal,989,rainy,5,,,,,,,,
USER017,2025-09-17 13:23:42.159,-3,evening,anomalous,658,sunny,5,,,,,,,,
USER009,2025-11-03 16:37:54.416,-22,night,anomalous,665,sunny,4,,,,,,,,
USER001,2025-09-29 22:43:37.639,-27,night,anomalous,486,snowy,0,,,,,,,,
USER006,2025-04-08 20:19:52.376,5,night,anomalous,876,snowy,1,,,,,,,,
USER009,2025-01-25 01:25:34.616,-33,morning,normal,903,rainy,5,,,,,,,,
USER013,2025-05-14 19:42:04.533,-12,night,anomalous,891,sunny,1,,,,,,,,
USER020,2025-10-31 20:21:19.510,37,night,anomalous,840,snowy,3,,,,,,,,
USER016,2025-09-09 05:22:23.160,-32,morning,anomalous,109,cloudy,4,,,,,,,,
USER017,2025-05-25 03:06:47.707,-31,morning,anomalous,954,snowy,5,,,,,,,,
USER005,2025-12-28 06:51:24.316,55,afternoon,anomalous,801,rainy,3,,,,,,,,
USER018,2025-01-18 13:04:09.152,30,evening,anomalous,978,rainy,4,,,,,,,,
USER019,2025-04-29 11:53:24.795,28,evening,anomalous,656,sunny,1,,,,,,,,
USER018,2025-05-06 09:44:05.876,-13,afternoon,normal,568,sunny,2,,,,,,,,
USER020,2025-07-22 16:26:17.025,11,evening,normal,564,cloudy,3,,,,,,,,
USER012,2025-02-13 10:08:59.266,-15,afternoon,anomalous,541,snowy,1,,,,,,,,
USER017,2025-11-03 15:17:16.192,22,evening,anomalous,140,snowy,5,,,,,,,,
USER003,2025-08-02 05:07:14.861,-40,morning,anomalous,416,rainy,0,,,,,,,,
USER016,2025-10-25 05:05:12.196,-44,morning,normal,473,sunny,4,,,,,,,,
USER016,2025-12-26 02:44:02.826,-49,morning,anomalous,603,sunny,5,,,,,,,,
USER006,2025-02-24 03:43:31.028,-38,morning,anomalous,581,rainy,1,,,,,,,,
USER020,2025-11-02 22:02:39.465,13,night,anomalous,815,rainy,2,,,,,,,,
USER002,2025-01-08 13:21:07.430,45,evening,normal,742,sunny,0,,,,,,,,
USER018,2025-09-28 01:00:28.143,20,morning,anomalous,411,cloudy,3,,,,,,,,
USER009,2025-07-16 14:34:38.820,42,evening,anomalous,800,cloudy,2,,,,,,,,
USER005,2025-08-27 22:45:41.055,18,night,anomalous,105,rainy,4,,,,,,,,
USER020,2025-05-20 06:00:34.068,12,morning,anomalous,503,cloudy,2,,,,,,,,
USER018,2025-04-05 18:12:59.886,-19,night,normal,122,rainy,5,,,,,,,,
USER015,2025-09-18 03:36:23.894,11,morning,anomalous,964,rainy,4,,,,,,,,
USER005,2025-04-23 12:00:17.032,-17,evening,anomalous,303,rainy,6,,,,,,,,
USER013,2025-03-09 03:14:23.484,28,morning,anomalous,502,rainy,5,,,,,,,,
USER015,2025-01-01 10:08:48.187,15,afternoon,anomalous,380,rainy,3,,,,,,,,
USER003,2025-06-06 13:47:57.060,10,evening,anomalous,971,rainy,5,,,,,,,,
USER009,2025-04-21 08:59:29.457,-6,afternoon,normal,960,snowy,6,,,,,,,,
USER008,2025-09-15 11:54:20.166,-26,evening,anomalous,138,rainy,1,,,,,,,,
USER011,2025-08-01 04:21:12.808,-19,morning,anomalous,727,rainy,2,,,,,,,,
USER004,2025-04-02 14:55:16.231,-37,evening,normal,858,sunny,4,,,,,,,,
USER015,2025-06-08 17:40:03.489,44,night,anomalous,523,rainy,2,,,,,,,,
USER001,2025-04-15 09:48:46.265,54,afternoon,normal,962,sunny,0,,,,,,,,
USER007,2025-11-11 02:57:11.643,-29,morning,normal,890,rainy,5,,,,,,,,
