user_id,timestamp,temperature,day_of_week,time_of_the_day,weather_conditions,behaviour,frequency_crossing
USER002,2025-05-05 08:24:00.508,-42,1,afternoon,cloudy,anomalous,153
USER018,2025-04-18 15:56:40.452,36,5,evening,snowy,normal,297
USER007,2025-12-02 11:03:43.268,3,2,afternoon,snowy,normal,423
USER004,2025-10-24 07:51:27.513,40,5,afternoon,cloudy,anomalous,688
USER007,2025-12-30 05:07:34.339,42,2,morning,cloudy,normal,106
USER017,2025-06-21 13:46:35.124,-26,6,evening,rainy,anomalous,945
USER015,2025-05-25 14:43:58.254,9,0,evening,snowy,normal,789
USER003,2025-01-26 13:17:41.215,51,0,evening,cloudy,anomalous,410
USER016,2025-11-27 18:28:04.633,-40,4,night,cloudy,normal,284
USER019,2025-04-16 15:49:12.939,-8,3,evening,rainy,anomalous,863
USER008,2025-11-03 06:16:53.237,-47,1,morning,sunny,anomalous,83
USER001,2025-10-31 21:56:55.575,55,6,night,snowy,normal,206
USER017,2025-12-01 00:22:17.784,-43,1,morning,cloudy,normal,707
USER007,2025-12-14 03:08:56.115,3,0,morning,cloudy,normal,213
USER010,2025-11-03 16:11:52.921,12,1,evening,sunny,normal,938
USER016,2025-03-15 11:14:32.493,51,6,afternoon,cloudy,anomalous,428
USER011,2025-02-25 20:47:39.251,25,3,night,cloudy,normal,638
USER004,2025-12-15 00:10:24.222,42,1,morning,cloudy,anomalous,478
USER019,2025-02-03 02:36:08.359,-8,1,morning,cloudy,anomalous,343
USER011,2025-01-19 19:59:33.322,37,1,night,cloudy,normal,339
USER015,2025-02-10 08:08:41.170,12,1,afternoon,cloudy,normal,709
USER001,2025-04-17 22:19:46.269,-14,5,night,snowy,normal,987
USER003,2025-10-20 09:15:45.425,2,1,afternoon,snowy,anomalous,705
USER005,2025-06-28 06:53:33.323,11,6,afternoon,rainy,anomalous,158
USER018,2025-07-24 10:56:49.220,59,4,afternoon,rainy,anomalous,22
USER015,2025-02-03 03:12:04.682,-46,1,morning,snowy,normal,564
USER004,2025-04-26 09:02:51.660,18,6,afternoon,sunny,normal,762
USER014,2025-02-23 05:54:21.470,29,0,morning,sunny,normal,295
USER019,2025-07-10 10:55:13.388,6,4,afternoon,sunny,normal,751
USER010,2025-03-05 14:06:03.141,54,3,evening,rainy,normal,404
USER005,2025-03-02 01:23:28.408,40,0,morning,snowy,anomalous,959
USER011,2025-09-23 05:24:31.981,7,2,morning,cloudy,normal,41
USER007,2025-08-16 18:42:50.330,-4,0,night,cloudy,anomalous,815
USER015,2025-08-23 06:26:10.040,-3,6,morning,snowy,normal,919
USER018,2025-05-06 08:45:29.948,28,2,afternoon,snowy,anomalous,460
USER015,2025-07-09 20:22:30.497,6,4,night,snowy,normal,352
USER006,2025-09-07 12:50:53.806,7,0,evening,rainy,anomalous,927
USER010,2025-03-02 01:24:44.169,-2,0,morning,sunny,normal,302
USER009,2025-09-23 15:02:11.278,27,2,evening,cloudy,anomalous,648
USER020,2025-09-05 15:07:44.009,-31,5,evening,sunny,anomalous,700
USER007,2025-10-21 06:22:23.172,39,2,morning,snowy,normal,437
USER005,2025-08-11 15:52:07.560,-39,1,evening,rainy,normal,257
USER006,2025-09-14 12:49:46.291,-27,0,evening,cloudy,normal,127
USER004,2025-04-18 23:57:47.372,0,6,morning,cloudy,normal,889
USER016,2025-10-09 15:20:49.961,-12,4,evening,snowy,anomalous,401
USER001,2025-02-03 14:58:34.717,-48,1,evening,snowy,normal,516
USER016,2025-01-06 00:23:22.822,-17,1,morning,rainy,normal,225
USER009,2025-06-17 13:25:57.657,41,2,evening,snowy,normal,879
USER018,2025-04-28 20:49:34.665,-43,2,night,cloudy,normal,839
USER005,2025-05-19 03:52:19.461,23,1,morning,sunny,anomalous,229
USER015,2025-12-04 23:03:03.444,48,5,night,rainy,normal,752
USER016,2025-06-10 20:10:47.021,40,3,night,sunny,normal,854
USER016,2025-09-12 05:10:46.354,-39,5,morning,sunny,anomalous,510
USER003,2025-01-02 19:30:42.955,16,5,night,cloudy,normal,345
USER020,2025-11-15 14:07:14.089,-19,6,evening,snowy,normal,973
USER002,2025-06-22 05:17:24.681,36,0,morning,rainy,anomalous,113
USER016,2025-12-04 20:23:05.058,16,5,night,snowy,normal,230
USER002,2025-09-30 05:34:40.808,-13,2,morning,cloudy,anomalous,444
USER006,2025-05-11 16:28:08.015,-50,0,evening,rainy,normal,599
USER009,2025-11-10 18:44:02.885,-31,2,night,rainy,normal,795
USER003,2025-10-03 00:18:14.077,-26,5,morning,cloudy,normal,394
USER017,2025-12-13 09:49:45.931,24,6,afternoon,sunny,anomalous,950
USER003,2025-11-30 02:34:15.198,20,0,morning,sunny,anomalous,153
USER005,2025-11-01 14:07:34.049,8,6,evening,cloudy,anomalous,508
USER017,2025-05-19 04:42:02.519,-1,1,morning,snowy,anomalous,956
USER005,2025-06-19 06:51:16.034,6,4,afternoon,cloudy,normal,827
USER012,2025-09-05 02:29:47.371,4,5,morning,cloudy,anomalous,2
USER004,2025-06-21 16:21:05.190,49,6,evening,sunny,normal,35
USER017,2025-05-28 23:11:58.833,18,4,night,cloudy,anomalous,351
USER005,2025-04-13 07:41:46.725,15,0,afternoon,rainy,anomalous,666
USER008,2025-02-06 09:30:04.250,-24,4,afternoon,snowy,normal,778
USER016,2025-08-02 05:26:10.819,-33,6,morning,snowy,normal,800
USER017,2025-12-29 19:19:17.689,-34,2,night,snowy,normal,190
USER013,2025-02-11 19:05:42.714,11,3,night,cloudy,anomalous,532
USER008,2025-10-29 21:36:57.762,14,4,night,cloudy,normal,622
USER001,2025-09-09 13:41:17.688,42,2,evening,sunny,normal,662
USER008,2025-01-09 04:35:40.790,-18,4,morning,sunny,anomalous,460
USER004,2025-07-10 08:47:25.086,59,4,afternoon,snowy,normal,192
USER013,2025-08-01 08:06:24.489,49,5,afternoon,sunny,normal,455
USER011,2025-12-02 16:00:54.493,-16,2,evening,sunny,normal,258
USER019,2025-01-19 05:24:22.860,1,0,morning,snowy,anomalous,979
USER018,2025-08-27 02:07:26.026,53,3,morning,sunny,anomalous,183
USER009,2025-08-12 23:52:05.945,-26,3,morning,rainy,normal,994
USER008,2025-02-16 06:34:00.624,-41,0,afternoon,rainy,normal,801
USER020,2025-08-08 12:43:28.174,20,5,evening,rainy,anomalous,700
USER011,2025-04-07 17:24:08.417,53,1,night,sunny,anomalous,882
USER018,2025-04-24 23:45:29.921,-39,5,morning,snowy,normal,995
USER019,2025-09-28 16:41:58.686,29,0,night,sunny,anomalous,19
USER020,2025-08-15 04:29:06.788,-10,5,morning,cloudy,anomalous,73
USER020,2025-07-15 02:27:06.261,30,2,morning,cloudy,normal,233
USER016,2025-06-27 12:15:44.122,-45,5,evening,rainy,anomalous,184
USER019,2025-07-09 17:36:06.725,28,3,night,rainy,normal,645
USER013,2025-04-04 21:59:33.256,-31,6,night,rainy,normal,562
USER017,2025-06-25 07:23:44.215,50,3,afternoon,snowy,normal,473
USER014,2025-03-20 05:12:55.901,-38,4,morning,sunny,anomalous,431
USER002,2025-10-12 10:41:23.659,1,0,afternoon,cloudy,normal,116
USER006,2025-11-10 05:00:12.463,-20,1,morning,snowy,normal,865
USER015,2025-02-21 23:25:40.579,8,6,night,sunny,anomalous,959
USER016,2025-11-15 02:46:56.583,-47,6,morning,cloudy,anomalous,906
USER003,2025-02-14 01:58:48.259,-36,5,morning,snowy,anomalous,247
USER004,2025-06-21 16:05:54.838,-21,6,evening,cloudy,normal,74
USER016,2025-05-30 16:01:02.381,-10,5,evening,rainy,normal,117
USER010,2025-07-29 17:21:03.643,28,2,night,sunny,normal,616
USER014,2025-10-15 09:44:40.954,15,3,afternoon,cloudy,anomalous,237
USER014,2025-05-29 21:10:19.817,-47,5,night,cloudy,normal,381
USER011,2025-03-15 19:10:28.628,24,0,night,snowy,anomalous,116
USER010,2025-03-17 01:12:41.540,37,1,morning,rainy,normal,619
USER015,2025-08-20 00:14:10.442,-37,3,morning,sunny,normal,663
USER019,2025-06-08 10:58:51.126,-40,0,afternoon,rainy,anomalous,469
USER011,2025-10-04 09:21:26.722,-15,6,afternoon,sunny,normal,494
USER003,2025-03-06 23:45:36.766,36,5,morning,rainy,anomalous,2
USER010,2025-01-23 08:47:54.761,56,4,afternoon,sunny,normal,286
USER017,2025-05-17 02:42:56.193,5,6,morning,rainy,anomalous,98
USER020,2025-12-10 23:59:47.268,-22,4,morning,snowy,anomalous,555
USER001,2025-12-08 22:19:10.019,-47,2,night,rainy,anomalous,392
USER011,2025-03-21 03:17:50.866,28,5,morning,snowy,normal,310
USER007,2025-08-08 15:13:48.022,21,5,evening,rainy,anomalous,244
USER017,2025-04-02 22:28:09.040,-7,4,night,cloudy,anomalous,915
USER014,2025-05-15 12:35:15.894,12,4,evening,rainy,normal,570
USER001,2025-04-07 15:30:19.095,22,1,evening,cloudy,anomalous,7
USER009,2025-05-14 15:54:56.778,-45,3,evening,sunny,anomalous,966
USER018,2025-10-28 10:14:20.506,-42,2,afternoon,sunny,normal,741
USER015,2025-08-16 21:25:39.202,-31,0,night,rainy,normal,602
USER017,2025-03-08 00:39:48.317,-17,6,morning,snowy,anomalous,34
USER006,2025-11-20 10:11:14.849,-27,4,afternoon,rainy,anomalous,898
USER005,2025-11-30 20:44:47.909,52,1,night,snowy,anomalous,571
USER013,2025-02-28 23:52:41.967,-35,6,morning,rainy,normal,651
USER009,2025-09-11 14:21:47.090,-29,4,evening,cloudy,anomalous,820
USER004,2025-12-21 13:01:34.591,1,0,evening,sunny,normal,820
USER020,2025-06-26 13:57:40.652,14,4,evening,cloudy,anomalous,768
USER004,2025-02-13 22:07:33.083,46,5,night,snowy,anomalous,37
USER016,2025-05-14 17:58:52.675,-31,3,night,cloudy,normal,403
USER014,2025-05-01 20:44:53.448,38,5,night,snowy,normal,302
USER008,2025-10-23 11:44:42.530,36,4,evening,rainy,anomalous,90
USER005,2025-05-22 16:38:11.580,-18,4,night,sunny,normal,984
USER015,2025-07-01 15:45:19.431,58,2,evening,sunny,anomalous,180
USER014,2025-03-01 10:43:34.509,24,6,afternoon,rainy,normal,548
USER001,2025-09-13 18:20:56.986,20,6,night,sunny,anomalous,409
USER020,2025-09-06 11:17:04.584,18,6,afternoon,rainy,normal,691
USER020,2025-02-25 13:06:40.756,45,2,evening,sunny,normal,435
USER015,2025-07-23 00:04:11.972,5,3,morning,cloudy,anomalous,452
USER020,2025-11-04 04:20:18.787,57,2,morning,rainy,anomalous,297
USER017,2025-03-20 23:00:09.157,34,5,night,sunny,normal,900
USER005,2025-07-08 22:21:46.377,57,3,night,rainy,normal,322
USER010,2025-05-07 01:45:15.389,58,3,morning,cloudy,anomalous,321
USER014,2025-06-20 15:18:09.465,-30,5,evening,rainy,normal,118
USER015,2025-11-26 17:12:53.222,23,3,night,cloudy,normal,886
USER017,2025-01-06 16:41:49.181,28,1,night,rainy,normal,555
USER019,2025-12-21 07:22:18.952,-29,0,afternoon,cloudy,normal,69
USER018,2025-06-06 12:01:30.305,34,5,evening,snowy,anomalous,942
USER001,2025-01-24 04:56:42.415,-15,5,morning,sunny,normal,211
USER002,2025-12-21 05:16:59.616,19,0,morning,snowy,normal,614
USER018,2025-11-29 09:21:46.605,-12,6,afternoon,sunny,anomalous,122
USER013,2025-09-14 23:17:35.244,35,1,night,snowy,anomalous,16
USER012,2025-10-05 02:45:04.291,4,0,morning,snowy,anomalous,707
USER019,2025-11-22 07:38:53.898,-18,6,afternoon,rainy,normal,349
USER018,2025-10-01 23:12:48.870,-24,4,night,rainy,normal,981
USER020,2025-07-10 05:37:04.538,21,4,morning,snowy,normal,605
USER012,2025-11-04 08:01:17.549,57,2,afternoon,cloudy,anomalous,201
USER016,2025-05-24 15:03:28.020,42,6,evening,cloudy,normal,412
USER010,2025-04-20 03:11:38.801,-38,0,morning,cloudy,anomalous,387
USER007,2025-04-11 00:23:10.260,-40,5,morning,cloudy,anomalous,599
USER004,2025-12-23 00:21:15.946,59,2,morning,rainy,normal,916
USER009,2025-07-24 12:10:20.241,28,4,evening,cloudy,normal,447
USER011,2025-02-27 01:33:03.997,-14,4,morning,snowy,anomalous,61
USER015,2025-01-04 21:55:25.093,-34,0,night,cloudy,anomalous,253
USER010,2025-12-29 12:40:45.232,-50,1,evening,rainy,normal,742
USER012,2025-11-06 05:54:48.811,44,4,morning,sunny,anomalous,575
USER007,2025-08-17 03:25:59.094,-9,0,morning,sunny,normal,312
USER004,2025-02-12 19:03:40.174,-35,4,night,sunny,normal,181
USER010,2025-07-16 03:06:57.567,-40,3,morning,snowy,normal,217
USER008,2025-02-06 13:41:54.541,49,4,evening,cloudy,anomalous,761
USER002,2025-06-03 22:22:05.824,-35,3,night,rainy,anomalous,67
USER010,2025-12-23 20:12:06.970,53,3,night,rainy,normal,356
USER009,2025-06-23 07:32:34.346,28,1,afternoon,cloudy,normal,44
USER008,2025-01-02 07:25:56.067,-24,4,afternoon,cloudy,anomalous,423
USER020,2025-11-08 18:53:30.277,39,0,night,rainy,anomalous,678
USER013,2025-07-13 09:20:13.651,-28,0,afternoon,rainy,anomalous,512
USER007,2025-01-13 09:44:00.103,48,1,afternoon,rainy,anomalous,323
USER019,2025-02-13 21:47:13.853,54,5,night,cloudy,anomalous,131
USER018,2025-10-02 11:02:14.207,58,4,afternoon,rainy,normal,315
USER012,2025-04-04 11:45:50.594,30,5,evening,cloudy,anomalous,679
USER005,2025-02-09 20:57:57.063,-8,1,night,cloudy,normal,634
USER011,2025-03-26 16:01:36.497,28,3,evening,rainy,anomalous,998
USER001,2025-01-02 13:50:45.321,50,4,evening,snowy,normal,745
USER018,2025-07-07 06:04:53.705,25,1,morning,snowy,anomalous,110
USER006,2025-02-17 03:12:16.034,-45,1,morning,snowy,normal,683
USER013,2025-10-24 07:50:28.722,-33,5,afternoon,cloudy,normal,235
USER011,2025-08-16 05:20:32.591,3,6,morning,cloudy,normal,260
USER003,2025-09-02 02:17:02.213,-37,2,morning,sunny,normal,583
USER018,2025-01-18 23:50:23.422,-43,0,morning,rainy,anomalous,112
USER013,2025-12-04 23:07:37.207,-22,5,night,snowy,anomalous,358
USER003,2025-05-06 16:56:21.911,3,2,night,cloudy,anomalous,101
USER006,2025-10-31 17:13:55.178,-41,5,night,snowy,normal,346
USER011,2025-01-01 12:28:40.892,-11,3,evening,snowy,normal,862
USER012,2025-03-02 20:55:52.160,-43,1,night,rainy,normal,508
USER008,2025-02-02 05:48:41.521,-33,0,morning,rainy,normal,74
USER017,2025-03-21 13:08:01.337,15,5,evening,sunny,normal,932
USER005,2025-02-12 20:57:24.608,-15,4,night,sunny,normal,195
USER006,2025-06-05 04:46:48.430,0,4,morning,rainy,anomalous,477
USER001,2025-06-04 09:58:34.795,-14,3,afternoon,cloudy,anomalous,956
USER004,2025-09-14 18:47:21.266,-19,1,night,rainy,normal,698
USER016,2025-02-24 13:07:27.976,-4,1,evening,rainy,anomalous,415
USER003,2025-04-09 02:41:26.349,42,3,morning,rainy,anomalous,808
USER009,2025-03-27 00:16:27.358,-38,4,morning,cloudy,normal,799
USER010,2025-01-03 07:29:10.069,29,5,afternoon,rainy,normal,494
USER001,2025-10-22 08:19:47.301,24,3,afternoon,rainy,normal,989
USER017,2025-09-17 13:23:42.159,-3,3,evening,cloudy,anomalous,658
USER009,2025-11-03 16:37:54.416,-22,1,night,rainy,anomalous,665
USER001,2025-09-29 22:43:37.639,-27,2,night,sunny,anomalous,486
USER006,2025-04-08 20:19:52.376,5,3,night,snowy,anomalous,876
USER009,2025-01-25 01:25:34.616,-33,6,morning,cloudy,normal,903
USER013,2025-05-14 19:42:04.533,-12,4,night,cloudy,anomalous,891
USER020,2025-10-31 20:21:19.510,37,6,night,rainy,anomalous,840
USER016,2025-09-09 05:22:23.160,-32,2,morning,cloudy,anomalous,109
USER017,2025-05-25 03:06:47.707,-31,0,morning,cloudy,anomalous,954
USER005,2025-12-28 06:51:24.316,55,0,afternoon,snowy,anomalous,801
USER018,2025-01-18 13:04:09.152,30,6,evening,rainy,anomalous,978
USER019,2025-04-29 11:53:24.795,28,2,evening,rainy,anomalous,656
USER018,2025-05-06 09:44:05.876,-13,2,afternoon,rainy,normal,568
USER020,2025-07-22 16:26:17.025,11,2,evening,cloudy,normal,564
USER012,2025-02-13 10:08:59.266,-15,4,afternoon,sunny,anomalous,541
USER017,2025-11-03 15:17:16.192,22,1,evening,sunny,anomalous,140
USER003,2025-08-02 05:07:14.861,-40,6,morning,sunny,anomalous,416
USER016,2025-10-25 05:05:12.196,-44,6,morning,cloudy,normal,473
USER016,2025-12-26 02:44:02.826,-49,5,morning,rainy,anomalous,603
USER006,2025-02-24 03:43:31.028,-38,1,morning,rainy,anomalous,581
USER020,2025-11-02 22:02:39.465,13,1,night,sunny,anomalous,815
USER002,2025-01-08 13:21:07.430,45,3,evening,snowy,normal,742
USER018,2025-09-28 01:00:28.143,20,0,morning,sunny,anomalous,411
USER009,2025-07-16 14:34:38.820,42,3,evening,sunny,anomalous,800
USER005,2025-08-27 22:45:41.055,18,4,night,cloudy,anomalous,105
USER020,2025-05-20 06:00:34.068,12,2,morning,rainy,anomalous,503
USER018,2025-04-05 18:12:59.886,-19,6,night,rainy,normal,122
USER015,2025-09-18 03:36:23.894,11,4,morning,snowy,anomalous,964
USER005,2025-04-23 12:00:17.032,-17,3,evening,cloudy,anomalous,303
USER013,2025-03-09 03:14:23.484,28,0,morning,rainy,anomalous,502
USER015,2025-01-01 10:08:48.187,15,3,afternoon,rainy,anomalous,380
USER003,2025-06-06 13:47:57.060,10,5,evening,cloudy,anomalous,971
USER009,2025-04-21 08:59:29.457,-6,1,afternoon,sunny,normal,960
USER008,2025-09-15 11:54:20.166,-26,1,evening,sunny,anomalous,138
USER011,2025-08-01 04:21:12.808,-19,5,morning,cloudy,anomalous,727
USER004,2025-04-02 14:55:16.231,-37,3,evening,sunny,normal,858
USER015,2025-06-08 17:40:03.489,44,0,night,snowy,anomalous,523
USER001,2025-04-15 09:48:46.265,54,2,afternoon,cloudy,normal,962
USER007,2025-11-11 02:57:11.643,-29,2,morning,rainy,normal,890
USER010,2025-01-28 05:12:38.933,3,2,morning,rainy,normal,548
USER014,2025-08-13 05:55:15.168,-39,3,morning,rainy,anomalous,804
USER015,2025-07-05 22:51:36.482,22,0,night,rainy,anomalous,469
USER012,2025-06-03 09:15:20.613,-14,2,afternoon,cloudy,normal,34
USER001,2025-08-12 23:07:16.932,57,3,night,rainy,normal,355
USER019,2025-12-25 14:00:25.221,57,4,evening,rainy,normal,134
USER006,2025-12-02 15:43:15.025,28,2,evening,cloudy,anomalous,829
USER003,2025-08-29 22:42:28.924,53,6,night,snowy,normal,285
USER020,2025-08-15 11:57:40.382,12,5,evening,rainy,anomalous,129
USER001,2025-09-03 06:59:05.401,46,3,afternoon,cloudy,normal,916
USER020,2025-09-06 19:15:03.134,5,0,night,sunny,anomalous,201
USER011,2025-07-03 10:35:07.935,-41,4,afternoon,sunny,anomalous,283
USER011,2025-08-15 21:19:02.930,-12,6,night,sunny,normal,746
USER010,2025-04-26 23:00:38.137,-29,0,night,rainy,anomalous,653
USER015,2025-08-03 17:43:42.091,-7,0,night,snowy,anomalous,321
USER013,2025-08-21 20:35:38.150,9,5,night,rainy,normal,480
USER015,2025-04-14 09:32:03.031,-24,1,afternoon,cloudy,anomalous,743
USER013,2025-08-19 12:30:32.727,56,2,evening,sunny,anomalous,469
USER019,2025-01-02 06:57:05.015,-37,4,afternoon,snowy,anomalous,276
USER018,2025-05-04 10:30:46.135,49,0,afternoon,snowy,anomalous,332
USER020,2025-02-03 14:56:43.372,4,1,evening,rainy,anomalous,227
USER019,2025-10-08 18:19:38.960,35,3,night,sunny,normal,218
USER016,2025-01-16 17:15:39.588,7,4,night,snowy,anomalous,14
USER018,2025-03-14 12:39:55.308,53,5,evening,cloudy,normal,905
USER001,2025-02-05 23:42:01.949,18,4,morning,sunny,normal,79
USER005,2025-11-03 13:07:38.306,-17,1,evening,cloudy,normal,994
USER005,2025-10-02 04:35:04.939,-20,4,morning,sunny,anomalous,8
USER020,2025-01-29 14:44:14.640,9,3,evening,snowy,anomalous,835
USER002,2025-06-17 08:15:56.850,-21,2,afternoon,cloudy,normal,996
USER010,2025-08-27 10:22:58.566,24,3,afternoon,cloudy,anomalous,636
USER016,2025-06-29 06:13:09.387,35,0,morning,snowy,anomalous,86
USER015,2025-04-02 22:33:39.700,-26,4,night,cloudy,anomalous,336
USER006,2025-04-24 05:53:45.766,46,4,morning,snowy,anomalous,607
USER001,2025-05-01 01:39:30.897,25,4,morning,sunny,anomalous,734
USER011,2025-06-26 14:48:35.875,-5,4,evening,sunny,normal,469
USER007,2025-04-05 12:24:51.262,-42,6,evening,snowy,normal,103
USER014,2025-08-24 17:32:14.075,23,0,night,cloudy,anomalous,243
USER002,2025-12-29 04:47:52.373,-46,1,morning,rainy,anomalous,934
USER006,2025-11-21 09:02:11.972,-19,5,afternoon,sunny,normal,627
USER004,2025-07-28 05:49:12.606,-25,1,morning,sunny,anomalous,25
USER008,2025-09-03 12:43:35.043,22,3,evening,rainy,anomalous,667
USER010,2025-11-25 09:11:51.148,-2,2,afternoon,snowy,anomalous,953
USER014,2025-05-10 08:54:15.821,-3,6,afternoon,sunny,anomalous,26
USER009,2025-04-06 12:55:02.403,-30,0,evening,sunny,anomalous,829
USER004,2025-10-31 17:05:57.758,-20,5,night,cloudy,normal,30
USER020,2025-04-26 09:56:16.071,11,6,afternoon,snowy,normal,281
USER015,2025-02-11 09:02:27.031,-24,2,afternoon,snowy,anomalous,582
USER019,2025-09-06 09:47:53.075,-10,6,afternoon,cloudy,normal,698
USER017,2025-07-17 15:38:40.689,-37,4,evening,snowy,anomalous,141
USER014,2025-04-15 01:48:56.959,-12,2,morning,rainy,anomalous,130
USER019,2025-10-12 01:48:17.600,-35,0,morning,sunny,normal,541
USER006,2025-07-19 19:37:00.088,6,0,night,sunny,normal,316
USER008,2025-12-10 13:12:33.054,38,3,evening,rainy,anomalous,198
USER012,2025-08-28 06:27:14.229,-8,4,morning,snowy,normal,210
USER006,2025-01-25 13:56:30.486,-46,6,evening,snowy,normal,219
USER001,2025-01-22 19:20:43.120,24,4,night,rainy,normal,391
USER016,2025-03-03 01:14:15.179,-10,1,morning,rainy,anomalous,525
USER003,2025-06-04 20:31:09.428,-5,4,night,rainy,normal,50
USER001,2025-05-21 07:35:03.523,47,3,afternoon,rainy,anomalous,766
USER004,2025-09-16 21:46:02.423,17,3,night,snowy,normal,516
USER001,2025-02-21 17:08:55.161,8,5,night,sunny,normal,375
USER016,2025-08-28 03:34:58.739,14,4,morning,rainy,anomalous,302
USER015,2025-11-27 10:03:45.121,44,4,afternoon,snowy,normal,321
USER008,2025-05-31 23:02:22.614,29,0,night,cloudy,normal,51
USER010,2025-08-17 22:06:18.201,34,1,night,rainy,anomalous,923
USER002,2025-11-28 02:10:49.515,-6,5,morning,rainy,normal,608
USER008,2025-03-14 16:50:17.820,22,5,night,rainy,normal,396
USER005,2025-08-28 06:04:18.254,49,4,morning,cloudy,anomalous,645
USER005,2025-06-12 17:34:05.022,41,4,night,snowy,normal,495
USER019,2025-03-15 23:25:28.144,55,0,night,rainy,normal,826
USER009,2025-08-29 03:42:29.583,-5,5,morning,cloudy,anomalous,848
